sub,mixed,motor,mem
MSC01,0.55,0.5,0.45
MSC02,0.5,0.5,0.45
MSC03,0.55,0.5,0.5
MSC04,0.35,0.55,0.25
MSC05,0.3,0.5,0.4
MSC06,0.4,0.5,0.6
MSC07,0.5,0.5,0.55
MSC10,0.7,0.5,0.55
