,test_task,train_task,Mean,Std
0,mem,mixed,0.6558035714285715,0.12239198126479559
1,mem,motor,0.6405357142857142,0.13048398916561152
2,mixed,mem,0.6704464285714284,0.12951053584980604
3,mixed,motor,0.6200892857142856,0.1286238033655038
4,motor,mem,0.6984821428571429,0.15929937408670375
5,motor,mixed,0.6698214285714286,0.16317576771331938
