train_task,test_task,sub,acc
mixed,motor,MSC01,0.9949999999999999
mixed,mem,MSC01,0.9400000000000001
motor,mixed,MSC01,0.825
motor,mem,MSC01,0.6500000000000001
mem,mixed,MSC01,0.945
mem,motor,MSC01,1.0
mixed,motor,MSC02,0.755
mixed,mem,MSC02,0.835
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.7300000000000001
mem,motor,MSC02,0.635
mixed,motor,MSC03,1.0
mixed,mem,MSC03,0.9
motor,mixed,MSC03,0.5549999999999999
motor,mem,MSC03,0.6
mem,mixed,MSC03,0.6187500000000001
mem,motor,MSC03,0.8812500000000001
mixed,motor,MSC04,0.95
mixed,mem,MSC04,0.9800000000000001
motor,mixed,MSC04,0.5899999999999999
motor,mem,MSC04,0.6950000000000001
mem,mixed,MSC04,0.9099999999999999
mem,motor,MSC04,0.9049999999999999
mixed,motor,MSC05,0.9650000000000001
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.57
motor,mem,MSC05,0.8099999999999999
mem,mixed,MSC05,0.8399999999999999
mem,motor,MSC05,1.0
mixed,motor,MSC06,0.9555555555555555
mixed,mem,MSC06,1.0
motor,mixed,MSC06,0.5444444444444444
motor,mem,MSC06,0.5444444444444445
mem,mixed,MSC06,0.75
mem,motor,MSC06,0.8722222222222223
mixed,motor,MSC07,0.8388888888888888
mixed,mem,MSC07,0.8950000000000001
motor,mixed,MSC07,0.5055555555555555
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.86
mem,motor,MSC07,0.7611111111111111
mixed,motor,MSC10,0.9099999999999999
mixed,mem,MSC10,0.9650000000000001
motor,mixed,MSC10,0.505
motor,mem,MSC10,0.645
mem,mixed,MSC10,0.7899999999999999
mem,motor,MSC10,0.9199999999999999
