,test_task,train_task,Mean,Std
0,mem,mixed,0.9154687499999999,0.09788827792620083
1,mem,motor,0.6395312500000001,0.12642038979277492
2,mixed,mem,0.7953125,0.08822088248902779
3,mixed,motor,0.6075694444444445,0.10304574141435037
4,motor,mem,0.8715625,0.07604851114373071
5,motor,mixed,0.8790972222222223,0.11148426922194278
