,test_task,train_task,Mean,Std
0,mem,mixed,0.90625,0.08210402808980463
1,mem,motor,0.6625,0.1407885953173359
2,mixed,mem,0.80625,0.126596941962615
3,mixed,motor,0.59375,0.09425459443140463
4,motor,mem,0.8624999999999999,0.12747548783981966
5,motor,mixed,0.89375,0.11783008347374012
