sub,glass,semantic,motor,mem
MSC01,0.95,0.95,0.9,0.9
MSC02,0.75,0.65,0.85,0.8
MSC03,0.75,0.85,0.95,0.85
MSC04,0.75,0.8,0.9,0.75
MSC05,0.7,0.75,0.75,0.75
MSC06,0.8333333333333334,0.75,0.75,0.85
MSC07,0.9,0.9,0.95,0.8
MSC10,0.85,0.75,0.85,0.85
