acc,train,test,frames
9999,MSC01,MSC02,350
9999,MSC01,MSC03,350
9999,MSC01,MSC04,350
9999,MSC01,MSC05,350
9999,MSC01,MSC06,350
9999,MSC01,MSC07,350
9999,MSC01,MSC10,350
0.5,MSC02,MSC01,350
0.75,MSC02,MSC03,350
0.9166666666666666,MSC02,MSC04,350
0.8999999999999999,MSC02,MSC05,350
0.9666666666666667,MSC02,MSC06,350
0.6666666666666666,MSC02,MSC07,350
0.8166666666666668,MSC02,MSC10,350
9999,MSC03,MSC01,350
9999,MSC03,MSC02,350
9999,MSC03,MSC04,350
9999,MSC03,MSC05,350
9999,MSC03,MSC06,350
9999,MSC03,MSC07,350
9999,MSC03,MSC10,350
0.85,MSC04,MSC01,350
0.875,MSC04,MSC02,350
0.7,MSC04,MSC03,350
0.85,MSC04,MSC05,350
0.875,MSC04,MSC06,350
0.75,MSC04,MSC07,350
0.825,MSC04,MSC10,350
0.8800000000000001,MSC05,MSC01,350
0.5800000000000001,MSC05,MSC02,350
0.89,MSC05,MSC03,350
0.8800000000000001,MSC05,MSC04,350
0.9099999999999999,MSC05,MSC06,350
0.79,MSC05,MSC07,350
0.85,MSC05,MSC10,350
0.7166666666666667,MSC06,MSC01,350
0.725,MSC06,MSC02,350
0.75,MSC06,MSC03,350
0.85,MSC06,MSC04,350
0.9500000000000001,MSC06,MSC05,350
0.5,MSC06,MSC07,350
0.5666666666666667,MSC06,MSC10,350
0.725,MSC07,MSC01,350
0.725,MSC07,MSC02,350
0.7125,MSC07,MSC03,350
0.7375,MSC07,MSC04,350
0.75,MSC07,MSC05,350
0.7749999999999999,MSC07,MSC06,350
0.675,MSC07,MSC10,350
9999,MSC10,MSC01,350
9999,MSC10,MSC02,350
9999,MSC10,MSC03,350
9999,MSC10,MSC04,350
9999,MSC10,MSC05,350
9999,MSC10,MSC06,350
9999,MSC10,MSC07,350
