acc,train,test,frames,analysis
"(0.59, [0.5, 0.55, 0.7, 0.55, 0.75, 0.7, 0.5, 0.6, 0.55, 0.5])",MSC06,MSC04,25,DS
"(0.675, [0.6, 0.85, 0.7, 0.65, 0.7, 0.8, 0.55, 0.7, 0.65, 0.55])",MSC06,MSC05,25,DS
"(0.545, [0.55, 0.55, 0.55, 0.45, 0.55, 0.55, 0.65, 0.55, 0.55, 0.5])",MSC06,MSC07,25,DS
"(0.575, [0.5, 0.55, 0.7, 0.5, 0.65, 0.8, 0.5, 0.55, 0.5, 0.5])",MSC06,MSC10,25,DS
"(0.645, [0.5, 0.55, 0.7, 0.7, 0.85, 0.7, 0.65, 0.6, 0.65, 0.55])",MSC07,MSC01,25,DS
"(0.565, [0.5, 0.5, 0.6, 0.65, 0.75, 0.55, 0.5, 0.5, 0.55, 0.55])",MSC07,MSC02,25,DS
"(0.595, [0.55, 0.55, 0.65, 0.6, 0.8, 0.6, 0.55, 0.55, 0.55, 0.55])",MSC07,MSC03,25,DS
"(0.62, [0.5, 0.6, 0.65, 0.75, 0.8, 0.6, 0.5, 0.55, 0.75, 0.5])",MSC07,MSC04,25,DS
"(0.6900000000000001, [0.55, 0.65, 0.65, 0.8, 0.8, 0.65, 0.6, 0.7, 0.7, 0.8])",MSC07,MSC05,25,DS
"(0.515, [0.5, 0.5, 0.5, 0.6, 0.55, 0.5, 0.5, 0.5, 0.5, 0.5])",MSC07,MSC06,25,DS
"(0.575, [0.5, 0.55, 0.6, 0.6, 0.65, 0.6, 0.55, 0.55, 0.6, 0.55])",MSC07,MSC10,25,DS
"(0.96, [0.95, 1.0, 0.95, 1.0, 1.0, 0.95, 0.85, 1.0, 0.9, 1.0])",MSC10,MSC01,25,DS
"(0.875, [0.9, 0.95, 0.85, 0.9, 0.75, 0.9, 0.9, 0.9, 0.8, 0.9])",MSC10,MSC02,25,DS
"(0.8099999999999999, [0.85, 0.8, 0.75, 0.8, 0.8, 0.85, 0.85, 0.8, 0.8, 0.8])",MSC10,MSC03,25,DS
"(0.9349999999999999, [0.9, 1.0, 0.95, 0.95, 0.9, 0.95, 0.85, 0.95, 0.95, 0.95])",MSC10,MSC04,25,DS
"(0.7100000000000001, [0.6, 0.65, 0.75, 0.7, 0.9, 0.85, 0.6, 0.75, 0.65, 0.65])",MSC10,MSC05,25,DS
"(0.65, [0.5, 0.55, 0.75, 0.65, 0.75, 0.65, 0.5, 0.7, 0.75, 0.7])",MSC10,MSC06,25,DS
"(0.705, [0.7, 0.75, 0.7, 0.7, 0.65, 0.7, 0.7, 0.7, 0.75, 0.7])",MSC10,MSC07,25,DS
