acc,train,test,frames,analysis
"(0.945, [0.95, 0.95, 0.95, 0.95, 0.9, 0.95, 0.95, 0.95, 0.95, 0.95])",MSC01,MSC02,125,DS
"(0.74, [0.75, 0.75, 0.75, 0.75, 0.65, 0.75, 0.75, 0.75, 0.75, 0.75])",MSC01,MSC03,125,DS
"(0.9349999999999999, [0.9, 0.95, 0.95, 0.95, 0.9, 0.95, 0.9, 0.95, 0.95, 0.95])",MSC01,MSC04,125,DS
"(1.0, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0])",MSC01,MSC05,125,DS
"(0.9199999999999999, [0.9, 0.8, 0.85, 0.95, 1.0, 0.95, 1.0, 0.8, 1.0, 0.95])",MSC01,MSC06,125,DS
"(0.5449999999999999, [0.55, 0.55, 0.55, 0.55, 0.5, 0.55, 0.55, 0.55, 0.55, 0.55])",MSC01,MSC07,125,DS
"(0.7100000000000001, [0.65, 0.75, 0.75, 0.7, 0.7, 0.7, 0.7, 0.75, 0.7, 0.7])",MSC01,MSC10,125,DS
"(0.96, [1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 1.0])",MSC02,MSC01,125,DS
"(0.8150000000000001, [0.85, 0.8, 0.85, 0.85, 0.85, 0.7, 0.8, 0.8, 0.8, 0.85])",MSC02,MSC03,125,DS
"(0.99, [1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0])",MSC02,MSC04,125,DS
"(0.97, [1.0, 1.0, 0.95, 1.0, 1.0, 0.85, 0.95, 1.0, 1.0, 0.95])",MSC02,MSC05,125,DS
"(0.9800000000000001, [1.0, 0.95, 1.0, 1.0, 1.0, 0.95, 0.95, 1.0, 1.0, 0.95])",MSC02,MSC06,125,DS
"(0.8099999999999999, [0.6, 0.75, 1.0, 0.7, 1.0, 0.5, 1.0, 0.9, 1.0, 0.65])",MSC02,MSC07,125,DS
"(0.9349999999999999, [0.9, 0.9, 0.9, 0.95, 1.0, 0.85, 0.95, 1.0, 0.95, 0.95])",MSC02,MSC10,125,DS
"(0.9083333333333333, [1.0, 0.8, 0.95, 1.0, 1.0, 0.7])",MSC03,MSC01,125,DS
"(0.5333333333333333, [0.55, 0.5, 0.6, 0.5, 0.5, 0.55])",MSC03,MSC02,125,DS
"(0.8083333333333335, [0.85, 0.75, 0.85, 0.85, 0.85, 0.7])",MSC03,MSC04,125,DS
"(0.7749999999999999, [0.7, 0.7, 0.9, 0.9, 0.9, 0.55])",MSC03,MSC05,125,DS
"(0.9666666666666668, [1.0, 0.95, 1.0, 0.95, 0.95, 0.95])",MSC03,MSC06,125,DS
"(0.8916666666666666, [0.95, 0.85, 0.85, 0.95, 0.9, 0.85])",MSC03,MSC07,125,DS
"(0.8666666666666667, [0.85, 0.8, 1.0, 0.8, 0.85, 0.9])",MSC03,MSC10,125,DS
"(0.945, [1.0, 0.8, 0.85, 1.0, 0.95, 1.0, 0.85, 1.0, 1.0, 1.0])",MSC04,MSC01,125,DS
"(0.915, [0.95, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.95, 0.9, 0.95])",MSC04,MSC02,125,DS
"(0.9, [0.9, 0.9, 0.95, 0.9, 0.95, 0.9, 0.9, 0.85, 0.85, 0.9])",MSC04,MSC03,125,DS
"(0.785, [0.95, 0.55, 0.7, 0.7, 0.75, 0.9, 0.7, 0.95, 0.8, 0.85])",MSC04,MSC05,125,DS
"(0.975, [1.0, 0.95, 0.95, 1.0, 0.95, 0.95, 0.95, 1.0, 1.0, 1.0])",MSC04,MSC06,125,DS
"(0.9299999999999999, [0.9, 1.0, 1.0, 0.9, 0.95, 0.95, 1.0, 0.8, 0.95, 0.85])",MSC04,MSC07,125,DS
"(0.985, [0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95])",MSC04,MSC10,125,DS
"(0.735, [0.7, 0.85, 0.8, 0.75, 0.6, 0.6, 0.6, 0.7, 1.0, 0.75])",MSC05,MSC01,125,DS
"(0.51, [0.55, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.55, 0.5])",MSC05,MSC02,125,DS
"(0.825, [0.85, 0.75, 0.85, 0.9, 0.8, 0.75, 0.75, 0.8, 0.9, 0.9])",MSC05,MSC03,125,DS
"(0.82, [0.8, 0.8, 0.8, 0.85, 0.8, 0.85, 0.8, 0.85, 0.85, 0.8])",MSC05,MSC04,125,DS
"(0.7500000000000001, [0.85, 0.6, 0.8, 0.85, 0.65, 0.65, 0.75, 0.7, 1.0, 0.65])",MSC05,MSC06,125,DS
"(0.5549999999999999, [0.55, 0.55, 0.5, 0.65, 0.5, 0.5, 0.5, 0.5, 0.75, 0.55])",MSC05,MSC07,125,DS
"(0.6799999999999999, [0.7, 0.65, 0.7, 0.8, 0.6, 0.55, 0.6, 0.65, 0.85, 0.7])",MSC05,MSC10,125,DS
"(0.8850000000000001, [1.0, 1.0, 0.85, 0.95, 0.7, 0.95, 0.95, 0.5, 0.95, 1.0])",MSC06,MSC01,125,DS
"(0.885, [0.75, 0.9, 0.95, 0.95, 0.95, 0.95, 0.95, 0.6, 0.9, 0.95])",MSC06,MSC02,125,DS
"(0.8099999999999999, [0.85, 0.9, 0.7, 0.9, 0.8, 0.85, 0.9, 0.55, 0.8, 0.85])",MSC06,MSC03,125,DS
"(0.89, [0.65, 0.95, 0.95, 0.95, 1.0, 1.0, 0.9, 0.7, 0.9, 0.9])",MSC06,MSC04,125,DS
"(0.9650000000000001, [0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7, 1.0, 1.0])",MSC06,MSC05,125,DS
"(0.6500000000000001, [0.9, 0.7, 0.55, 0.6, 0.6, 0.6, 0.65, 0.5, 0.7, 0.7])",MSC06,MSC07,125,DS
"(0.845, [0.9, 0.95, 0.75, 0.95, 0.8, 0.85, 0.95, 0.5, 0.95, 0.85])",MSC06,MSC10,125,DS
"(0.525, [0.5, 0.55, 0.5, 0.6, 0.5, 0.5, 0.5, 0.5, 0.5, 0.6])",MSC07,MSC01,125,DS
"(0.5349999999999999, [0.55, 0.55, 0.5, 0.65, 0.5, 0.5, 0.5, 0.5, 0.55, 0.55])",MSC07,MSC02,125,DS
"(0.55, [0.5, 0.6, 0.55, 0.65, 0.5, 0.55, 0.5, 0.5, 0.55, 0.6])",MSC07,MSC03,125,DS
"(0.615, [0.55, 0.8, 0.6, 0.8, 0.5, 0.55, 0.55, 0.5, 0.5, 0.8])",MSC07,MSC04,125,DS
"(0.7599999999999999, [0.75, 0.95, 0.7, 0.95, 0.5, 0.85, 0.85, 0.5, 0.6, 0.95])",MSC07,MSC05,125,DS
"(0.7699999999999999, [0.8, 0.9, 0.8, 0.9, 0.55, 0.85, 0.75, 0.55, 0.6, 1.0])",MSC07,MSC06,125,DS
"(0.6649999999999998, [0.6, 0.8, 0.65, 0.9, 0.5, 0.75, 0.55, 0.5, 0.55, 0.85])",MSC07,MSC10,125,DS
"(0.7388888888888889, [0.9, 0.7, 0.55, 0.75, 0.95, 0.75, 0.9, 0.6, 0.55])",MSC10,MSC01,125,DS
"(0.6777777777777777, [0.85, 0.8, 0.55, 0.65, 0.9, 0.55, 0.7, 0.55, 0.55])",MSC10,MSC02,125,DS
"(0.7166666666666667, [0.7, 0.7, 0.7, 0.7, 0.85, 0.7, 0.7, 0.7, 0.7])",MSC10,MSC03,125,DS
"(0.8388888888888889, [0.85, 0.85, 0.8, 0.85, 0.9, 0.9, 0.85, 0.8, 0.75])",MSC10,MSC04,125,DS
