acc,train,test,frames
0.5,MSC01,MSC02,5
0.5,MSC01,MSC03,5
0.5,MSC01,MSC04,5
0.5,MSC01,MSC05,5
0.5,MSC01,MSC06,5
0.5,MSC01,MSC07,5
0.5,MSC01,MSC10,5
0.5650000000000001,MSC02,MSC01,5
0.6,MSC02,MSC03,5
0.5800000000000001,MSC02,MSC04,5
0.7049999999999998,MSC02,MSC05,5
0.6049999999999999,MSC02,MSC06,5
0.555,MSC02,MSC07,5
0.6100000000000001,MSC02,MSC10,5
0.51875,MSC03,MSC01,5
0.50625,MSC03,MSC02,5
0.53125,MSC03,MSC04,5
0.5125,MSC03,MSC05,5
0.50625,MSC03,MSC06,5
0.5750000000000001,MSC03,MSC07,5
0.54375,MSC03,MSC10,5
0.51,MSC04,MSC01,5
0.525,MSC04,MSC02,5
0.505,MSC04,MSC03,5
0.5349999999999999,MSC04,MSC05,5
0.545,MSC04,MSC06,5
0.51,MSC04,MSC07,5
0.5,MSC04,MSC10,5
0.505,MSC05,MSC01,5
0.525,MSC05,MSC02,5
0.53,MSC05,MSC03,5
0.5449999999999999,MSC05,MSC04,5
0.5999999999999999,MSC05,MSC06,5
0.505,MSC05,MSC07,5
0.5,MSC05,MSC10,5
0.5,MSC06,MSC01,5
0.5,MSC06,MSC02,5
0.5,MSC06,MSC03,5
0.5,MSC06,MSC04,5
0.5,MSC06,MSC05,5
0.5,MSC06,MSC07,5
0.5,MSC06,MSC10,5
0.5,MSC07,MSC01,5
0.5,MSC07,MSC02,5
0.5,MSC07,MSC03,5
0.5,MSC07,MSC04,5
0.5,MSC07,MSC05,5
0.5,MSC07,MSC06,5
0.5,MSC07,MSC10,5
0.47,MSC10,MSC01,5
0.4400000000000001,MSC10,MSC02,5
0.5549999999999999,MSC10,MSC03,5
0.545,MSC10,MSC04,5
0.435,MSC10,MSC05,5
0.395,MSC10,MSC06,5
0.57,MSC10,MSC07,5
0.55,MSC01,MSC02,10
0.525,MSC01,MSC03,10
0.555,MSC01,MSC04,10
0.565,MSC01,MSC05,10
0.6599999999999999,MSC01,MSC06,10
0.5349999999999999,MSC01,MSC07,10
0.575,MSC01,MSC10,10
0.575,MSC02,MSC01,10
0.58,MSC02,MSC03,10
0.6100000000000001,MSC02,MSC04,10
0.51,MSC02,MSC05,10
0.54,MSC02,MSC06,10
0.5349999999999999,MSC02,MSC07,10
0.595,MSC02,MSC10,10
0.5687500000000001,MSC03,MSC01,10
0.5125,MSC03,MSC02,10
0.54375,MSC03,MSC04,10
0.5,MSC03,MSC05,10
0.53125,MSC03,MSC06,10
0.6062500000000001,MSC03,MSC07,10
0.50625,MSC03,MSC10,10
0.6849999999999999,MSC04,MSC01,10
0.69,MSC04,MSC02,10
0.6399999999999999,MSC04,MSC03,10
0.72,MSC04,MSC05,10
0.8399999999999999,MSC04,MSC06,10
0.715,MSC04,MSC07,10
0.705,MSC04,MSC10,10
0.7550000000000001,MSC05,MSC01,10
0.6649999999999999,MSC05,MSC02,10
0.6599999999999999,MSC05,MSC03,10
0.6649999999999999,MSC05,MSC04,10
0.75,MSC05,MSC06,10
0.6649999999999999,MSC05,MSC07,10
0.595,MSC05,MSC10,10
0.615,MSC06,MSC01,10
0.54,MSC06,MSC02,10
0.5,MSC06,MSC03,10
0.545,MSC06,MSC04,10
0.64,MSC06,MSC05,10
0.5850000000000001,MSC06,MSC07,10
0.565,MSC06,MSC10,10
0.5900000000000001,MSC07,MSC01,10
0.58,MSC07,MSC02,10
0.585,MSC07,MSC03,10
0.66,MSC07,MSC04,10
0.595,MSC07,MSC05,10
0.575,MSC07,MSC06,10
0.75,MSC07,MSC10,10
0.5,MSC10,MSC01,10
0.5,MSC10,MSC02,10
0.5,MSC10,MSC03,10
0.5,MSC10,MSC04,10
0.5,MSC10,MSC05,10
0.5,MSC10,MSC06,10
0.5,MSC10,MSC07,10
0.515,MSC01,MSC02,15
0.505,MSC01,MSC03,15
0.51,MSC01,MSC04,15
0.5349999999999999,MSC01,MSC05,15
0.6,MSC01,MSC06,15
0.51,MSC01,MSC07,15
0.5549999999999999,MSC01,MSC10,15
0.5399999999999999,MSC02,MSC01,15
0.59,MSC02,MSC03,15
0.615,MSC02,MSC04,15
0.475,MSC02,MSC05,15
0.56,MSC02,MSC06,15
0.54,MSC02,MSC07,15
0.575,MSC02,MSC10,15
0.80625,MSC03,MSC01,15
0.7,MSC03,MSC02,15
0.7625000000000001,MSC03,MSC04,15
0.79375,MSC03,MSC05,15
0.7687499999999999,MSC03,MSC06,15
0.6,MSC03,MSC07,15
0.8374999999999999,MSC03,MSC10,15
0.62,MSC04,MSC01,15
0.58,MSC04,MSC02,15
0.585,MSC04,MSC03,15
0.7849999999999999,MSC04,MSC05,15
0.7649999999999999,MSC04,MSC06,15
0.565,MSC04,MSC07,15
0.525,MSC04,MSC10,15
0.5,MSC05,MSC01,15
0.5,MSC05,MSC02,15
0.51,MSC05,MSC03,15
0.525,MSC05,MSC04,15
0.61,MSC05,MSC06,15
0.5,MSC05,MSC07,15
0.5,MSC05,MSC10,15
0.525,MSC06,MSC01,15
0.525,MSC06,MSC02,15
0.415,MSC06,MSC03,15
0.49,MSC06,MSC04,15
0.51,MSC06,MSC05,15
0.48,MSC06,MSC07,15
0.495,MSC06,MSC10,15
0.635,MSC07,MSC01,15
0.58,MSC07,MSC02,15
0.575,MSC07,MSC03,15
0.7049999999999998,MSC07,MSC04,15
0.6849999999999999,MSC07,MSC05,15
0.54,MSC07,MSC06,15
0.655,MSC07,MSC10,15
0.735,MSC10,MSC01,15
0.5,MSC10,MSC02,15
0.5700000000000001,MSC10,MSC03,15
0.7,MSC10,MSC04,15
0.685,MSC10,MSC05,15
0.7749999999999999,MSC10,MSC06,15
0.7249999999999999,MSC10,MSC07,15
0.505,MSC01,MSC02,20
0.505,MSC01,MSC03,20
0.5,MSC01,MSC04,20
0.51,MSC01,MSC05,20
0.57,MSC01,MSC06,20
0.505,MSC01,MSC07,20
0.525,MSC01,MSC10,20
0.6799999999999999,MSC02,MSC01,20
0.6599999999999999,MSC02,MSC03,20
0.7400000000000001,MSC02,MSC04,20
0.5549999999999999,MSC02,MSC05,20
0.685,MSC02,MSC06,20
0.685,MSC02,MSC07,20
0.6799999999999999,MSC02,MSC10,20
0.5875,MSC03,MSC01,20
0.6,MSC03,MSC02,20
0.64375,MSC03,MSC04,20
0.68125,MSC03,MSC05,20
0.65625,MSC03,MSC06,20
0.49375,MSC03,MSC07,20
0.7437499999999999,MSC03,MSC10,20
0.65,MSC04,MSC01,20
0.755,MSC04,MSC02,20
0.7550000000000001,MSC04,MSC03,20
0.6200000000000001,MSC04,MSC05,20
0.74,MSC04,MSC06,20
0.8099999999999999,MSC04,MSC07,20
0.8800000000000001,MSC04,MSC10,20
0.5,MSC05,MSC01,20
0.5,MSC05,MSC02,20
0.5,MSC05,MSC03,20
0.5,MSC05,MSC04,20
0.51,MSC05,MSC06,20
0.5,MSC05,MSC07,20
0.5,MSC05,MSC10,20
0.55,MSC06,MSC01,20
0.545,MSC06,MSC02,20
0.4149999999999999,MSC06,MSC03,20
0.53,MSC06,MSC04,20
0.5549999999999999,MSC06,MSC05,20
0.51,MSC06,MSC07,20
0.505,MSC06,MSC10,20
0.7649999999999999,MSC07,MSC01,20
0.7300000000000001,MSC07,MSC02,20
0.7000000000000001,MSC07,MSC03,20
0.725,MSC07,MSC04,20
0.7549999999999999,MSC07,MSC05,20
0.62,MSC07,MSC06,20
0.6900000000000001,MSC07,MSC10,20
0.96,MSC10,MSC01,20
0.8699999999999999,MSC10,MSC02,20
0.78,MSC10,MSC03,20
0.9149999999999998,MSC10,MSC04,20
0.66,MSC10,MSC05,20
0.635,MSC10,MSC06,20
0.72,MSC10,MSC07,20
0.55,MSC01,MSC02,25
0.52,MSC01,MSC03,25
0.535,MSC01,MSC04,25
0.575,MSC01,MSC05,25
0.725,MSC01,MSC06,25
0.53,MSC01,MSC07,25
0.6049999999999999,MSC01,MSC10,25
0.675,MSC02,MSC01,25
0.6900000000000001,MSC02,MSC03,25
0.7849999999999999,MSC02,MSC04,25
0.545,MSC02,MSC05,25
0.6399999999999999,MSC02,MSC06,25
0.6699999999999999,MSC02,MSC07,25
0.655,MSC02,MSC10,25
0.5875,MSC03,MSC01,25
0.6687500000000001,MSC03,MSC02,25
0.65,MSC03,MSC04,25
0.69375,MSC03,MSC05,25
0.58125,MSC03,MSC06,25
0.525,MSC03,MSC07,25
0.71875,MSC03,MSC10,25
