train_sub,test_sub,task,acc
MSC07,MSC10,motor,0.5
MSC07,MSC10,mem,0.5599999999999999
MSC10,MSC01,mixed,0.645
MSC10,MSC01,motor,0.57
MSC10,MSC01,mem,0.47000000000000003
MSC10,MSC02,mixed,0.6400000000000001
MSC10,MSC02,motor,0.47000000000000003
MSC10,MSC02,mem,0.495
MSC10,MSC03,mixed,0.6100000000000001
MSC10,MSC03,motor,0.5449999999999999
MSC10,MSC03,mem,0.5449999999999999
MSC10,MSC04,mixed,0.49000000000000005
MSC10,MSC04,motor,0.5000000000000001
MSC10,MSC04,mem,0.43500000000000005
MSC10,MSC05,mixed,0.4950000000000001
MSC10,MSC05,motor,0.52
MSC10,MSC05,mem,0.545
MSC10,MSC06,mixed,0.5700000000000001
MSC10,MSC06,motor,0.565
MSC10,MSC06,mem,0.48
MSC10,MSC07,mixed,0.615
MSC10,MSC07,motor,0.6300000000000001
MSC10,MSC07,mem,0.36
