,test_task,train_task,Mean,Std
0,glass,mem,0.7886805555555556,0.10211473709816747
1,glass,motor,0.6045833333333334,0.13590598407699528
2,glass,semantic,0.7498611111111111,0.10939659335851352
3,mem,glass,0.6038888888888889,0.07314610538973404
4,mem,motor,0.555,0.0647522751944451
5,mem,semantic,0.5931249999999999,0.05945811851331034
6,motor,glass,0.6406944444444446,0.07424146100817165
7,motor,mem,0.745625,0.114687074249891
8,motor,semantic,0.5706249999999999,0.05499594140869465
9,semantic,glass,0.8058333333333333,0.09407865672294462
10,semantic,mem,0.840625,0.07331134681226761
11,semantic,motor,0.61625,0.1130660363302286
