,Network,Acc,Features,z_score
0,unassign,0.6656845238095238,14808,-3.7451233451343486
1,default,0.7760714285714285,10824,-3.634736440372444
2,visual,0.7391071428571429,8736,-3.67170072608673
3,fp,0.6905654761904761,4620,-3.7202423927533963
4,dan,0.6892559523809525,5264,-3.72155191656292
5,van,0.6221130952380952,3151,-3.7886947737057772
6,salience,0.6692857142857143,484,-3.741522154658158
7,co,0.7122321428571429,4060,-3.69857572608673
8,sm,0.6788988095238095,2375,-3.731909059420063
9,sm-lat,0.6203273809523809,316,-3.7904804879914917
10,auditory,0.5809523809523809,564,-3.829855487991492
11,pmn,0.5583035714285715,45,-3.852504297515301
12,pon,0.5511309523809524,21,-3.85967691656292
