train,acc,frames,analysis
MSC01,1.0,50,CV
MSC02,0.9,50,CV
MSC03,0.875,50,CV
MSC04,1.0,50,CV
MSC05,1.0,50,CV
MSC06,0.95,50,CV
MSC07,0.8,50,CV
MSC10,0.95,50,CV
