,test_task,train_task,Mean,Std
0,glass,mem,0.48666666666666675,0.11564317773512581
1,glass,motor,0.5621825396825396,0.10890413504596892
2,glass,semantic,0.6120337301587301,0.11391779760155836
3,mem,glass,0.5029861111111111,0.08814108184406391
4,mem,motor,0.5040178571428572,0.09633945497258942
5,mem,semantic,0.5089285714285714,0.10566118357412864
6,motor,glass,0.582390873015873,0.11603919379482447
7,motor,mem,0.49125,0.11087769674900197
8,motor,semantic,0.5914285714285714,0.12083314673817504
9,semantic,glass,0.6051785714285715,0.11096809518844364
10,semantic,mem,0.49464285714285705,0.1316118851460168
11,semantic,motor,0.5699107142857144,0.114786327469895
