,MSC03,train,test
0,0.875,mixed,mem
1,0.8125,mixed,mem
2,0.8125,mixed,mem
3,0.875,mixed,mem
4,0.9375,mixed,mem
5,0.9375,mixed,mem
6,0.9375,mixed,mem
7,0.875,mixed,mem
8,0.8125,mixed,mem
9,0.9375,mixed,mem
