,train_sub,test_sub,task,acc
130,MSC07,MSC02,motor,0.53
131,MSC07,MSC02,mem,0.6300000000000001
132,MSC07,MSC03,mixed,0.39
133,MSC07,MSC03,motor,0.42000000000000004
134,MSC07,MSC03,mem,0.43499999999999994
135,MSC07,MSC04,mixed,0.5
136,MSC07,MSC04,motor,0.58
137,MSC07,MSC04,mem,0.57
138,MSC07,MSC05,mixed,0.505
139,MSC07,MSC05,motor,0.585
140,MSC07,MSC05,mem,0.5900000000000001
141,MSC07,MSC06,mixed,0.505
142,MSC07,MSC06,motor,0.5999999999999999
143,MSC07,MSC06,mem,0.55
144,MSC07,MSC10,mixed,0.72
145,MSC07,MSC10,motor,0.8099999999999999
146,MSC07,MSC10,mem,0.5099999999999999
147,MSC10,MSC01,mixed,0.7899999999999999
148,MSC10,MSC01,motor,0.7649999999999999
149,MSC10,MSC01,mem,0.5149999999999999
150,MSC10,MSC02,mixed,0.625
151,MSC10,MSC02,motor,0.6200000000000001
152,MSC10,MSC02,mem,0.655
153,MSC10,MSC03,mixed,0.45
154,MSC10,MSC03,motor,0.6849999999999999
155,MSC10,MSC03,mem,0.505
156,MSC10,MSC04,mixed,0.5599999999999999
157,MSC10,MSC04,motor,0.6199999999999999
158,MSC10,MSC04,mem,0.525
159,MSC10,MSC05,mixed,0.5549999999999999
160,MSC10,MSC05,motor,0.59
161,MSC10,MSC05,mem,0.675
162,MSC10,MSC06,mixed,0.62
163,MSC10,MSC06,motor,0.705
164,MSC10,MSC06,mem,0.625
165,MSC10,MSC07,mixed,0.565
166,MSC10,MSC07,motor,0.7050000000000001
167,MSC10,MSC07,mem,0.47000000000000003
