Test_Variable,Train_Variable,Mean,Std
mixed,mem,0.7734375,0.15222392392745962
motor,mem,0.80625,0.15494494670022804
mem,mixed,0.72578125,0.16256675979082835
motor,mixed,0.7101562499999999,0.15840967770961312
mem,motor,0.60703125,0.1926974739540038
mixed,motor,0.55390625,0.19564802529437217
