sub,mixed,motor,mem
MSC01,0.95,0.9,0.8
MSC02,0.8,0.65,0.8
MSC03,0.8,0.75,0.8
MSC04,0.9,0.8,0.65
MSC05,0.75,0.45,0.55
MSC06,0.75,0.8,0.75
MSC07,0.65,0.7,0.4
MSC10,0.85,0.45,0.65
