task,acc,sub
mixed,0.05,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.7,MSC04
mixed,0.25,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.75,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.25,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.4,MSC04
mixed,0.75,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.3,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.25,MSC04
mixed,0.45,MSC04
mixed,0.35,MSC04
mixed,0.2,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.35,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.4,MSC04
mixed,0.45,MSC04
mixed,0.85,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.4,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.25,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.25,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.35,MSC04
mixed,0.35,MSC04
mixed,0.8,MSC04
mixed,0.45,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.35,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.8,MSC04
mixed,0.4,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.8,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.45,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.3,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.3,MSC04
mixed,0.75,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.8,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.3,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.75,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.4,MSC04
mixed,0.75,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.15,MSC04
mixed,0.4,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.8,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.35,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.8,MSC04
mixed,0.5,MSC04
mixed,0.75,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.75,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.85,MSC04
mixed,0.6,MSC04
mixed,0.85,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.8,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.7,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.3,MSC04
mixed,0.25,MSC04
mixed,0.55,MSC04
mixed,0.75,MSC04
mixed,0.35,MSC04
mixed,0.45,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.3,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.25,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.9,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.75,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.3,MSC04
mixed,0.8,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.25,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.7,MSC04
mixed,0.85,MSC04
mixed,0.7,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.3,MSC04
mixed,0.55,MSC04
mixed,0.2,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.7,MSC04
mixed,0.7,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.3,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.75,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.6,MSC04
mixed,0.25,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.8,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.4,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.75,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.2,MSC04
mixed,0.3,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.3,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.8,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.4,MSC04
mixed,0.4,MSC04
mixed,0.4,MSC04
mixed,0.45,MSC04
mixed,0.3,MSC04
mixed,0.3,MSC04
mixed,0.5,MSC04
mixed,0.75,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.35,MSC04
mixed,0.7,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.75,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.15,MSC04
mixed,0.85,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.75,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.3,MSC04
mixed,0.65,MSC04
mixed,0.4,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.35,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.75,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.7,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.45,MSC04
mixed,0.8,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.75,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.85,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.35,MSC04
mixed,0.45,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.3,MSC04
mixed,0.6,MSC04
mixed,0.25,MSC04
mixed,0.4,MSC04
mixed,0.3,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.7,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.8,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.3,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.8,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.8,MSC04
mixed,0.95,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.35,MSC04
mixed,0.35,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.7,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.3,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.7,MSC04
mixed,0.3,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.65,MSC04
mixed,0.65,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.3,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.3,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.35,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.6,MSC04
mixed,0.75,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.6,MSC04
mixed,0.5,MSC04
mixed,0.75,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.45,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.75,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.4,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.5,MSC04
mixed,0.7,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.6,MSC04
mixed,0.6,MSC04
mixed,0.85,MSC04
mixed,0.55,MSC04
mixed,0.55,MSC04
mixed,0.75,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.45,MSC04
mixed,0.7,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.45,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.5,MSC04
mixed,0.8,MSC04
mixed,0.55,MSC04
mixed,0.7,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.45,MSC04
mixed,0.35,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.35,MSC04
mixed,0.65,MSC04
mixed,0.5,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.5,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.4,MSC04
mixed,0.65,MSC04
mixed,0.55,MSC04
mixed,0.35,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.45,MSC04
mixed,0.7,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC04
mixed,0.65,MSC04
mixed,0.6,MSC04
mixed,0.4,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.35,MSC04
mixed,0.5,MSC04
mixed,0.55,MSC04
mixed,0.6,MSC05
mixed,0.65,MSC05
mixed,0.6,MSC05
mixed,0.75,MSC05
mixed,0.55,MSC05
mixed,0.5,MSC05
mixed,0.55,MSC05
mixed,0.6,MSC05
mixed,0.8,MSC05
mixed,0.45,MSC05
mixed,0.35,MSC05
mixed,0.4,MSC05
mixed,0.55,MSC05
mixed,0.65,MSC05
mixed,0.55,MSC05
mixed,0.45,MSC05
mixed,0.65,MSC05
mixed,0.6,MSC05
mixed,0.6,MSC05
mixed,0.4,MSC05
mixed,0.25,MSC05
mixed,0.4,MSC05
mixed,0.6,MSC05
mixed,0.7,MSC05
mixed,0.5,MSC05
mixed,0.55,MSC05
mixed,0.4,MSC05
mixed,0.3,MSC05
mixed,0.3,MSC05
mixed,0.75,MSC05
mixed,0.55,MSC05
mixed,0.55,MSC05
mixed,0.4,MSC05
mixed,0.5,MSC05
mixed,0.35,MSC05
mixed,0.1,MSC05
mixed,0.75,MSC05
mixed,0.35,MSC05
mixed,0.55,MSC05
mixed,0.6,MSC05
mixed,0.6,MSC05
mixed,0.5,MSC05
mixed,0.55,MSC05
mixed,0.75,MSC05
mixed,0.65,MSC05
mixed,0.5,MSC05
mixed,0.5,MSC05
mixed,0.4,MSC05
mixed,0.4,MSC05
mixed,0.45,MSC05
mixed,0.65,MSC05
mixed,0.4,MSC05
mixed,0.6,MSC05
mixed,0.65,MSC05
mixed,0.5,MSC05
mixed,0.4,MSC05
mixed,0.6,MSC05
mixed,0.3,MSC05
mixed,0.35,MSC05
mixed,0.55,MSC05
mixed,0.55,MSC05
mixed,0.65,MSC05
mixed,0.6,MSC05
mixed,0.6,MSC05
mixed,0.45,MSC05
mixed,0.65,MSC05
mixed,0.5,MSC05
mixed,0.7,MSC05
mixed,0.6,MSC05
mixed,0.6,MSC05
mixed,0.55,MSC05
mixed,0.85,MSC05
mixed,0.4,MSC05
mixed,0.55,MSC05
mixed,0.45,MSC05
mixed,0.4,MSC05
mixed,0.65,MSC05
mixed,0.6,MSC05
mixed,0.55,MSC05
mixed,0.6,MSC05
mixed,0.65,MSC05
mixed,0.65,MSC05
mixed,0.55,MSC05
mixed,0.55,MSC05
mixed,0.8,MSC05
mixed,0.55,MSC05
mixed,0.45,MSC05
mixed,0.6,MSC05
mixed,0.55,MSC05
mixed,0.5,MSC05
mixed,0.35,MSC05
mixed,0.7,MSC05
mixed,0.65,MSC05
mixed,0.55,MSC05
mixed,0.6,MSC05
mixed,0.55,MSC05
mixed,0.3,MSC05
mixed,0.6,MSC05
mixed,0.65,MSC05
mixed,0.7,MSC05
mixed,0.65,MSC05
mixed,0.45,MSC05
mixed,0.65,MSC05
mixed,0.5,MSC05
mixed,0.8,MSC05
mixed,0.6,MSC05
mixed,0.55,MSC05
mixed,0.7,MSC05
mixed,0.5,MSC05
mixed,0.7,MSC05
mixed,0.65,MSC05
mixed,0.5,MSC05
mixed,0.2,MSC05
mixed,0.4,MSC05
mixed,0.55,MSC05
mixed,0.65,MSC05
mixed,0.55,MSC05
mixed,0.4,MSC05
mixed,0.55,MSC05
mixed,0.45,MSC05
mixed,0.45,MSC05
mixed,0.6,MSC05
mixed,0.85,MSC05
mixed,0.5,MSC05
mixed,0.45,MSC05
mixed,0.55,MSC05
mixed,0.3,MSC05
mixed,0.75,MSC05
mixed,0.45,MSC05
mixed,0.55,MSC05
mixed,0.35,MSC05
mixed,0.55,MSC05
mixed,0.5,MSC05
mixed,0.6,MSC05
mixed,0.6,MSC05
mixed,0.45,MSC05
mixed,0.55,MSC05
mixed,0.65,MSC05
mixed,0.65,MSC05
mixed,0.4,MSC05
mixed,0.4,MSC05
mixed,0.35,MSC05
mixed,0.45,MSC05
mixed,0.5,MSC05
mixed,0.4,MSC05
mixed,0.65,MSC05
mixed,0.6,MSC05
mixed,0.5,MSC05
mixed,0.55,MSC05
mixed,0.2,MSC05
mixed,0.5,MSC05
mixed,0.45,MSC05
mixed,0.6,MSC05
mixed,0.6,MSC05
mixed,0.65,MSC05
mixed,0.55,MSC05
mixed,0.45,MSC05
mixed,0.55,MSC05
mixed,0.6,MSC05
mixed,0.65,MSC05
mixed,0.5,MSC05
mixed,0.7,MSC05
mixed,0.4,MSC05
mixed,0.5,MSC05
mixed,0.55,MSC05
mixed,0.65,MSC05
mixed,0.6,MSC05
mixed,0.7,MSC05
mixed,0.7,MSC05
mixed,0.7,MSC05
mixed,0.55,MSC05
mixed,0.7,MSC05
mixed,0.3,MSC05
mixed,0.6,MSC05
mixed,0.6,MSC05
mixed,0.55,MSC05
mixed,0.55,MSC05
mixed,0.35,MSC05
mixed,0.5,MSC05
mixed,0.55,MSC05
mixed,0.35,MSC05
mixed,0.8,MSC05
mixed,0.45,MSC05
mixed,0.5,MSC05
mixed,0.4,MSC05
mixed,0.25,MSC05
mixed,0.55,MSC05
mixed,0.7,MSC05
mixed,0.65,MSC05
mixed,0.75,MSC05
mixed,0.6,MSC05
mixed,0.75,MSC05
mixed,0.35,MSC05
mixed,0.25,MSC05
mixed,0.5,MSC05
mixed,0.7,MSC05
mixed,0.6,MSC05
mixed,0.35,MSC05
mixed,0.3,MSC05
