,test_task,train_task,Mean,Std
0,glass,mem,0.6023015873015872,0.11905597758054455
1,glass,motor,0.5987003968253968,0.1045774607945563
2,glass,semantic,0.6028373015873016,0.11632854700443987
3,mem,glass,0.5903273809523809,0.10497681732136789
4,mem,motor,0.5888392857142856,0.11996587041711097
5,mem,semantic,0.5806250000000002,0.10380078165759292
6,motor,glass,0.6233531746031744,0.11472657996887563
7,motor,mem,0.6069642857142857,0.1311129928081763
8,motor,semantic,0.5898214285714285,0.11303243414538669
9,semantic,glass,0.6263690476190475,0.12012007480572252
10,semantic,mem,0.6136607142857143,0.13082775307260294
11,semantic,motor,0.6055357142857142,0.10057416337043198
