,test_task,train_task,Mean,Std
0,glass,mem,0.7612797619047619,0.13268854698519453
1,glass,motor,0.6031150793650795,0.09962171314687913
2,glass,semantic,0.5535912698412699,0.08735712814133241
3,mem,glass,0.5680257936507936,0.11390245889310358
4,mem,motor,0.6155357142857144,0.11390857007996519
5,mem,semantic,0.5594642857142855,0.09009933190867517
6,motor,glass,0.5806646825396825,0.10246131566651327
7,motor,mem,0.8204464285714289,0.12332247743845579
8,motor,semantic,0.553125,0.08469497409152231
9,semantic,glass,0.5705059523809524,0.08819090078211006
10,semantic,mem,0.7919642857142855,0.11535194592451153
11,semantic,motor,0.6149107142857144,0.11805426745753442
