,test_task,train_task,Mean,Std
0,glass,mem,0.7433630952380955,0.1194356078311214
1,glass,motor,0.6160019841269841,0.11868733125236068
2,glass,semantic,0.571904761904762,0.10225212875778104
3,mem,glass,0.5873214285714285,0.12794245458449283
4,mem,motor,0.6219642857142856,0.13171483857674768
5,mem,semantic,0.5779464285714285,0.10693573595097491
6,motor,glass,0.6032936507936508,0.11020508670275225
7,motor,mem,0.7961607142857144,0.12281912447848804
8,motor,semantic,0.5776785714285716,0.12370038688009719
9,semantic,glass,0.5951587301587302,0.10680140450015939
10,semantic,mem,0.7773214285714284,0.1055977112601245
11,semantic,motor,0.6242857142857143,0.13061542638750454
