,test_task,train_task,Mean,Std
0,glass,mem,0.73343253968254,0.12573889836788996
1,glass,motor,0.6033234126984127,0.10506165637096142
2,glass,semantic,0.5549305555555556,0.09665221432077413
3,mem,glass,0.5778869047619049,0.12141678687546106
4,mem,motor,0.6091071428571428,0.10304944595527096
5,mem,semantic,0.5660714285714287,0.10707564991721885
6,motor,glass,0.5862301587301587,0.10499049790181643
7,motor,mem,0.7880357142857142,0.12235447226446967
8,motor,semantic,0.5538392857142856,0.08197001154207433
9,semantic,glass,0.5893154761904762,0.10346293551011732
10,semantic,mem,0.7689285714285712,0.11294694766576469
11,semantic,motor,0.6176785714285715,0.11634573979665595
