,test_task,train_task,Mean,Std
0,glass,mem,0.5436210317460318,0.1125091836167522
1,glass,motor,0.5283134920634921,0.09949862889747349
2,glass,semantic,0.5390277777777778,0.12431424691696435
3,mem,glass,0.5410714285714285,0.09189920655513932
4,mem,motor,0.4978571428571429,0.09619987309978939
5,mem,semantic,0.5423214285714286,0.10332633337553003
6,motor,glass,0.5352083333333334,0.09200751216707234
7,motor,mem,0.5006249999999999,0.11428060560822126
8,motor,semantic,0.5152678571428572,0.12495606370698006
9,semantic,glass,0.5380059523809523,0.11487522029478144
10,semantic,mem,0.5549107142857143,0.11568959673284279
11,semantic,motor,0.503482142857143,0.09948467055443604
