,test_task,train_task,Mean,Std
0,glass,mem,0.7281646825396823,0.11585339044153929
1,glass,motor,0.593611111111111,0.09315441002842598
2,glass,semantic,0.5639781746031746,0.09463977286608917
3,mem,glass,0.5676785714285714,0.117992519458091
4,mem,motor,0.6077678571428572,0.11030090926377528
5,mem,semantic,0.5825000000000001,0.11041244989089362
6,motor,glass,0.5863492063492064,0.1178605511092502
7,motor,mem,0.7838392857142856,0.11050705889188736
8,motor,semantic,0.5645535714285713,0.09903294578396299
9,semantic,glass,0.5695039682539684,0.08547429425479322
10,semantic,mem,0.7635714285714286,0.11788173690654499
11,semantic,motor,0.6073214285714286,0.1184174598832233
