Network,Acc,Features,z_score
unassign,0.5526744378306878,14808,-0.42510491198620054
default,0.6498834325396826,10824,0.33446689829141324
visual,0.6174024470899471,8736,0.08066691824313092
fp,0.639333664021164,4620,0.2520330988718262
dan,0.6241550925925926,5264,0.13343075130160464
van,0.5762632275132274,3151,-0.24078678653842628
salience,0.6043708664021165,484,-0.02115926937938528
co,0.6118386243386242,4060,0.03719231044642039
sm,0.561282242063492,2375,-0.35784523644692273
sm-lat,0.5621701388888889,316,-0.3509073867034352
auditory,0.5593014219576719,564,-0.3733229720012939
pmn,0.5417931547619047,45,-0.5101291003696029
pon,0.5426347552910054,21,-0.50355300070585
