,test_task,train_task,Mean,Std
0,glass,mem,0.7289682539682537,0.13766945189914617
1,glass,motor,0.597748015873016,0.08920615222167097
2,glass,semantic,0.5498214285714285,0.0832620642814282
3,mem,glass,0.566577380952381,0.11023593597410321
4,mem,motor,0.6003571428571428,0.09876444494055331
5,mem,semantic,0.5504464285714284,0.08556909374999133
6,motor,glass,0.5772420634920635,0.09225878332630325
7,motor,mem,0.7796428571428571,0.1275177604131253
8,motor,semantic,0.5391964285714284,0.06918865373162568
9,semantic,glass,0.5725992063492064,0.08643780369333343
10,semantic,mem,0.7536607142857142,0.11256307755463789
11,semantic,motor,0.5911607142857143,0.09698636769917987
