,test_task,train_task,Mean,Std
0,glass,mem,0.7086309523809525,0.1394273185300397
1,glass,motor,0.605376984126984,0.0995853979410878
2,glass,semantic,0.551984126984127,0.07753358905311573
3,mem,glass,0.5827976190476191,0.12737560619565946
4,mem,motor,0.6222321428571428,0.1252013637845311
5,mem,semantic,0.5699107142857145,0.10154932107301165
6,motor,glass,0.579295634920635,0.10155698621273243
7,motor,mem,0.7691071428571429,0.13506600118210607
8,motor,semantic,0.5483035714285714,0.07391811677128271
9,semantic,glass,0.5841071428571427,0.09850570856152421
10,semantic,mem,0.7510714285714286,0.12628868187146133
11,semantic,motor,0.6227678571428571,0.12487418993406249
