,test_task,train_task,Mean,Std
0,glass,mem,0.7183432539682542,0.11476289376498594
1,glass,motor,0.5933829365079363,0.08883295442056094
2,glass,semantic,0.5634027777777779,0.08505171480881026
3,mem,glass,0.579890873015873,0.11241993882181658
4,mem,motor,0.6157142857142858,0.1138117607416601
5,mem,semantic,0.5919642857142858,0.1015322544874224
6,motor,glass,0.5962698412698412,0.10251553846174878
7,motor,mem,0.7775892857142859,0.1316675947964438
8,motor,semantic,0.571875,0.08486653961046457
9,semantic,glass,0.592529761904762,0.10187087839908358
10,semantic,mem,0.7708928571428573,0.11439209740210181
11,semantic,motor,0.6118750000000001,0.1109691296139279
