,test_task,train_task,Mean,Std
0,glass,mem,0.5946626984126983,0.11808206730578506
1,glass,motor,0.5796527777777778,0.09518176612510189
2,glass,semantic,0.6061408730158729,0.09806016497838267
3,mem,glass,0.5702083333333332,0.11213560826451592
4,mem,motor,0.5785714285714285,0.09919546491518781
5,mem,semantic,0.6044642857142855,0.10670553607274284
6,motor,glass,0.5892857142857144,0.10863605537969055
7,motor,mem,0.6152678571428571,0.12160449917983805
8,motor,semantic,0.5992857142857142,0.10698950063792821
9,semantic,glass,0.6015376984126986,0.09946630824893157
10,semantic,mem,0.6224107142857145,0.1387508921230241
11,semantic,motor,0.5822321428571426,0.10059784763130844
