,test_task,train_task,Mean,Std
0,glass,mem,0.545188492063492,0.11513186100498167
1,glass,motor,0.5199702380952382,0.08953467558949697
2,glass,semantic,0.548214285714286,0.10206139710910347
3,mem,glass,0.5381250000000002,0.10154383828808172
4,mem,motor,0.5217857142857143,0.10303321870078673
5,mem,semantic,0.5568749999999999,0.08987649353924022
6,motor,glass,0.5404265873015874,0.09625005960447838
7,motor,mem,0.5340178571428571,0.10748961743881526
8,motor,semantic,0.5379464285714285,0.09950686036520429
9,semantic,glass,0.5440575396825398,0.11282182647973249
10,semantic,mem,0.5693749999999999,0.11133513086010348
11,semantic,motor,0.5226785714285713,0.10070191966083183
