,test_task,train_task,Mean,Std
0,glass,mem,0.7208333333333334,0.13264540546686968
1,glass,motor,0.6204067460317461,0.11371235350050733
2,glass,semantic,0.5835515873015874,0.10490841918045991
3,mem,glass,0.6016567460317459,0.13399597507529723
4,mem,motor,0.630892857142857,0.1392874958261024
5,mem,semantic,0.6007142857142856,0.1251305811449077
6,motor,glass,0.6109523809523809,0.126377159597188
7,motor,mem,0.7499107142857143,0.14016383618475192
8,motor,semantic,0.5841071428571427,0.09307918009003825
9,semantic,glass,0.5958730158730158,0.10971899916723071
10,semantic,mem,0.7147321428571427,0.11909667441680671
11,semantic,motor,0.614107142857143,0.11757437546605884
