,test_task,train_task,Mean,Std
0,glass,mem,0.569513888888889,0.11440938280708682
1,glass,motor,0.5917460317460316,0.11617193943713848
2,glass,semantic,0.588015873015873,0.09656274787772773
3,mem,glass,0.6072916666666667,0.10629470407012655
4,mem,motor,0.5761607142857142,0.08658674615892213
5,mem,semantic,0.5845535714285715,0.09866046820795543
6,motor,glass,0.5974603174603174,0.10570992737008544
7,motor,mem,0.5570535714285715,0.10711835758854565
8,motor,semantic,0.6138392857142857,0.12186800262962826
9,semantic,glass,0.6067956349206348,0.10228083470439357
10,semantic,mem,0.5793750000000001,0.11665435541103315
11,semantic,motor,0.6099107142857143,0.11359213749771019
