Test_variables,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
MSC01,1.0,1.0,0.65,1.0,1.0,1.0,1.0,1.0
MSC02,0.9,1.0,0.65,0.95,0.8,0.9,0.95,0.95
MSC03,1.0,1.0,1.0,1.0,0.95,1.0,0.9,1.0
MSC04,0.85,1.0,0.9,1.0,0.85,0.95,0.9,0.95
MSC05,0.95,1.0,0.95,0.9,1.0,0.95,0.9,0.9
MSC06,0.7,0.95,1.0,1.0,1.0,1.0,0.9,0.85
MSC07,1.0,1.0,0.7,1.0,0.9,1.0,1.0,0.7
MSC10,0.95,0.9,0.95,1.0,0.9,1.0,0.95,1.0
