train_task,test_task,train_sub,test_sub,acc,network,feature
semantic,glass,MSC02,MSC03,0.5,unassign,14808
semantic,motor,MSC02,MSC03,0.5,unassign,14808
semantic,mem,MSC02,MSC03,0.5,unassign,14808
glass,semantic,MSC02,MSC03,0.5,unassign,14808
glass,motor,MSC02,MSC03,0.5,unassign,14808
glass,mem,MSC02,MSC03,0.51,unassign,14808
motor,semantic,MSC02,MSC03,0.5,unassign,14808
motor,glass,MSC02,MSC03,0.5,unassign,14808
motor,mem,MSC02,MSC03,0.5,unassign,14808
mem,semantic,MSC02,MSC03,0.6650000000000001,unassign,14808
mem,glass,MSC02,MSC03,0.43500000000000005,unassign,14808
mem,motor,MSC02,MSC03,0.59,unassign,14808
semantic,glass,MSC02,MSC04,0.51,unassign,14808
semantic,motor,MSC02,MSC04,0.5149999999999999,unassign,14808
semantic,mem,MSC02,MSC04,0.5,unassign,14808
glass,semantic,MSC02,MSC04,0.51,unassign,14808
glass,motor,MSC02,MSC04,0.5,unassign,14808
glass,mem,MSC02,MSC04,0.5,unassign,14808
motor,semantic,MSC02,MSC04,0.5,unassign,14808
motor,glass,MSC02,MSC04,0.5,unassign,14808
motor,mem,MSC02,MSC04,0.5,unassign,14808
mem,semantic,MSC02,MSC04,0.945,unassign,14808
mem,glass,MSC02,MSC04,0.925,unassign,14808
mem,motor,MSC02,MSC04,0.8700000000000001,unassign,14808
semantic,glass,MSC02,MSC05,0.5,unassign,14808
semantic,motor,MSC02,MSC05,0.5,unassign,14808
semantic,mem,MSC02,MSC05,0.5,unassign,14808
glass,semantic,MSC02,MSC05,0.5449999999999999,unassign,14808
glass,motor,MSC02,MSC05,0.505,unassign,14808
glass,mem,MSC02,MSC05,0.5,unassign,14808
motor,semantic,MSC02,MSC05,0.5149999999999999,unassign,14808
motor,glass,MSC02,MSC05,0.63,unassign,14808
motor,mem,MSC02,MSC05,0.5,unassign,14808
mem,semantic,MSC02,MSC05,0.7999999999999999,unassign,14808
mem,glass,MSC02,MSC05,0.5949999999999999,unassign,14808
mem,motor,MSC02,MSC05,0.74,unassign,14808
semantic,glass,MSC02,MSC06,0.5631578947368421,unassign,14808
semantic,motor,MSC02,MSC06,0.5,unassign,14808
semantic,mem,MSC02,MSC06,0.5,unassign,14808
glass,semantic,MSC02,MSC06,0.5499999999999999,unassign,14808
glass,motor,MSC02,MSC06,0.5,unassign,14808
glass,mem,MSC02,MSC06,0.5,unassign,14808
motor,semantic,MSC02,MSC06,0.5499999999999999,unassign,14808
motor,glass,MSC02,MSC06,0.5263157894736842,unassign,14808
motor,mem,MSC02,MSC06,0.5,unassign,14808
mem,semantic,MSC02,MSC06,0.77,unassign,14808
mem,glass,MSC02,MSC06,0.7684210526315789,unassign,14808
mem,motor,MSC02,MSC06,0.6299999999999999,unassign,14808
semantic,glass,MSC02,MSC07,0.53,unassign,14808
semantic,motor,MSC02,MSC07,0.5,unassign,14808
semantic,mem,MSC02,MSC07,0.5449999999999999,unassign,14808
glass,semantic,MSC02,MSC07,0.5499999999999999,unassign,14808
glass,motor,MSC02,MSC07,0.5549999999999999,unassign,14808
glass,mem,MSC02,MSC07,0.5,unassign,14808
motor,semantic,MSC02,MSC07,0.5,unassign,14808
motor,glass,MSC02,MSC07,0.5,unassign,14808
motor,mem,MSC02,MSC07,0.5,unassign,14808
mem,semantic,MSC02,MSC07,0.7100000000000001,unassign,14808
mem,glass,MSC02,MSC07,0.74,unassign,14808
mem,motor,MSC02,MSC07,0.61,unassign,14808
semantic,glass,MSC02,MSC10,0.5,unassign,14808
semantic,motor,MSC02,MSC10,0.5549999999999999,unassign,14808
semantic,mem,MSC02,MSC10,0.5,unassign,14808
glass,semantic,MSC02,MSC10,0.57,unassign,14808
glass,motor,MSC02,MSC10,0.5199999999999999,unassign,14808
glass,mem,MSC02,MSC10,0.5,unassign,14808
motor,semantic,MSC02,MSC10,0.5,unassign,14808
motor,glass,MSC02,MSC10,0.5,unassign,14808
motor,mem,MSC02,MSC10,0.5399999999999999,unassign,14808
mem,semantic,MSC02,MSC10,0.6700000000000002,unassign,14808
mem,glass,MSC02,MSC10,0.525,unassign,14808
mem,motor,MSC02,MSC10,0.6199999999999999,unassign,14808
semantic,glass,MSC03,MSC01,0.5,unassign,14808
semantic,motor,MSC03,MSC01,0.5,unassign,14808
semantic,mem,MSC03,MSC01,0.5,unassign,14808
glass,semantic,MSC03,MSC01,0.5,unassign,14808
glass,motor,MSC03,MSC01,0.5,unassign,14808
glass,mem,MSC03,MSC01,0.5,unassign,14808
motor,semantic,MSC03,MSC01,0.5,unassign,14808
motor,glass,MSC03,MSC01,0.5,unassign,14808
motor,mem,MSC03,MSC01,0.5,unassign,14808
mem,semantic,MSC03,MSC01,0.5,unassign,14808
mem,glass,MSC03,MSC01,0.5,unassign,14808
mem,motor,MSC03,MSC01,0.5,unassign,14808
semantic,glass,MSC03,MSC02,0.5,unassign,14808
semantic,motor,MSC03,MSC02,0.5,unassign,14808
semantic,mem,MSC03,MSC02,0.5,unassign,14808
glass,semantic,MSC03,MSC02,0.5,unassign,14808
glass,motor,MSC03,MSC02,0.5,unassign,14808
glass,mem,MSC03,MSC02,0.5,unassign,14808
motor,semantic,MSC03,MSC02,0.5,unassign,14808
motor,glass,MSC03,MSC02,0.525,unassign,14808
motor,mem,MSC03,MSC02,0.505,unassign,14808
mem,semantic,MSC03,MSC02,0.5,unassign,14808
mem,glass,MSC03,MSC02,0.495,unassign,14808
mem,motor,MSC03,MSC02,0.5,unassign,14808
semantic,glass,MSC03,MSC04,0.5,unassign,14808
semantic,motor,MSC03,MSC04,0.5,unassign,14808
semantic,mem,MSC03,MSC04,0.5,unassign,14808
glass,semantic,MSC03,MSC04,0.5,unassign,14808
glass,motor,MSC03,MSC04,0.5,unassign,14808
glass,mem,MSC03,MSC04,0.5,unassign,14808
motor,semantic,MSC03,MSC04,0.53,unassign,14808
motor,glass,MSC03,MSC04,0.5849999999999999,unassign,14808
motor,mem,MSC03,MSC04,0.5,unassign,14808
mem,semantic,MSC03,MSC04,0.52,unassign,14808
mem,glass,MSC03,MSC04,0.52,unassign,14808
mem,motor,MSC03,MSC04,0.52,unassign,14808
semantic,glass,MSC03,MSC05,0.5149999999999999,unassign,14808
semantic,motor,MSC03,MSC05,0.5,unassign,14808
semantic,mem,MSC03,MSC05,0.5349999999999999,unassign,14808
glass,semantic,MSC03,MSC05,0.5,unassign,14808
glass,motor,MSC03,MSC05,0.5,unassign,14808
glass,mem,MSC03,MSC05,0.5,unassign,14808
motor,semantic,MSC03,MSC05,0.51,unassign,14808
motor,glass,MSC03,MSC05,0.55,unassign,14808
motor,mem,MSC03,MSC05,0.51,unassign,14808
mem,semantic,MSC03,MSC05,0.5,unassign,14808
mem,glass,MSC03,MSC05,0.5,unassign,14808
mem,motor,MSC03,MSC05,0.495,unassign,14808
semantic,glass,MSC03,MSC06,0.5263157894736842,unassign,14808
semantic,motor,MSC03,MSC06,0.5,unassign,14808
semantic,mem,MSC03,MSC06,0.5,unassign,14808
glass,semantic,MSC03,MSC06,0.505,unassign,14808
glass,motor,MSC03,MSC06,0.5,unassign,14808
glass,mem,MSC03,MSC06,0.5,unassign,14808
motor,semantic,MSC03,MSC06,0.53,unassign,14808
motor,glass,MSC03,MSC06,0.5473684210526316,unassign,14808
motor,mem,MSC03,MSC06,0.5,unassign,14808
mem,semantic,MSC03,MSC06,0.6599999999999999,unassign,14808
mem,glass,MSC03,MSC06,0.6421052631578948,unassign,14808
mem,motor,MSC03,MSC06,0.6549999999999999,unassign,14808
semantic,glass,MSC03,MSC07,0.5,unassign,14808
semantic,motor,MSC03,MSC07,0.5,unassign,14808
semantic,mem,MSC03,MSC07,0.5,unassign,14808
glass,semantic,MSC03,MSC07,0.5,unassign,14808
glass,motor,MSC03,MSC07,0.5,unassign,14808
glass,mem,MSC03,MSC07,0.5,unassign,14808
motor,semantic,MSC03,MSC07,0.53,unassign,14808
motor,glass,MSC03,MSC07,0.575,unassign,14808
motor,mem,MSC03,MSC07,0.5599999999999999,unassign,14808
mem,semantic,MSC03,MSC07,0.5,unassign,14808
mem,glass,MSC03,MSC07,0.5,unassign,14808
mem,motor,MSC03,MSC07,0.5,unassign,14808
semantic,glass,MSC03,MSC10,0.5,unassign,14808
semantic,motor,MSC03,MSC10,0.5,unassign,14808
semantic,mem,MSC03,MSC10,0.5,unassign,14808
glass,semantic,MSC03,MSC10,0.5,unassign,14808
glass,motor,MSC03,MSC10,0.5,unassign,14808
glass,mem,MSC03,MSC10,0.5,unassign,14808
motor,semantic,MSC03,MSC10,0.5,unassign,14808
motor,glass,MSC03,MSC10,0.5399999999999999,unassign,14808
motor,mem,MSC03,MSC10,0.505,unassign,14808
mem,semantic,MSC03,MSC10,0.5,unassign,14808
mem,glass,MSC03,MSC10,0.5,unassign,14808
mem,motor,MSC03,MSC10,0.5,unassign,14808
semantic,glass,MSC04,MSC01,0.53,unassign,14808
semantic,motor,MSC04,MSC01,0.51,unassign,14808
semantic,mem,MSC04,MSC01,0.5,unassign,14808
glass,semantic,MSC04,MSC01,0.5,unassign,14808
glass,motor,MSC04,MSC01,0.5,unassign,14808
glass,mem,MSC04,MSC01,0.5,unassign,14808
motor,semantic,MSC04,MSC01,0.5,unassign,14808
motor,glass,MSC04,MSC01,0.5449999999999999,unassign,14808
motor,mem,MSC04,MSC01,0.5499999999999999,unassign,14808
mem,semantic,MSC04,MSC01,0.66,unassign,14808
mem,glass,MSC04,MSC01,0.72,unassign,14808
mem,motor,MSC04,MSC01,0.6950000000000001,unassign,14808
semantic,glass,MSC04,MSC02,0.5349999999999999,unassign,14808
semantic,motor,MSC04,MSC02,0.5449999999999999,unassign,14808
semantic,mem,MSC04,MSC02,0.5549999999999999,unassign,14808
glass,semantic,MSC04,MSC02,0.505,unassign,14808
glass,motor,MSC04,MSC02,0.5449999999999999,unassign,14808
glass,mem,MSC04,MSC02,0.5399999999999999,unassign,14808
motor,semantic,MSC04,MSC02,0.5649999999999998,unassign,14808
motor,glass,MSC04,MSC02,0.59,unassign,14808
motor,mem,MSC04,MSC02,0.5549999999999999,unassign,14808
mem,semantic,MSC04,MSC02,0.6100000000000001,unassign,14808
mem,glass,MSC04,MSC02,0.62,unassign,14808
mem,motor,MSC04,MSC02,0.62,unassign,14808
semantic,glass,MSC04,MSC03,0.5449999999999999,unassign,14808
semantic,motor,MSC04,MSC03,0.5449999999999999,unassign,14808
semantic,mem,MSC04,MSC03,0.5999999999999999,unassign,14808
glass,semantic,MSC04,MSC03,0.5,unassign,14808
glass,motor,MSC04,MSC03,0.61,unassign,14808
glass,mem,MSC04,MSC03,0.55,unassign,14808
motor,semantic,MSC04,MSC03,0.53,unassign,14808
motor,glass,MSC04,MSC03,0.5499999999999999,unassign,14808
motor,mem,MSC04,MSC03,0.5899999999999999,unassign,14808
mem,semantic,MSC04,MSC03,0.6,unassign,14808
mem,glass,MSC04,MSC03,0.605,unassign,14808
mem,motor,MSC04,MSC03,0.6,unassign,14808
semantic,glass,MSC04,MSC05,0.5,unassign,14808
semantic,motor,MSC04,MSC05,0.5,unassign,14808
semantic,mem,MSC04,MSC05,0.5,unassign,14808
glass,semantic,MSC04,MSC05,0.5,unassign,14808
glass,motor,MSC04,MSC05,0.5149999999999999,unassign,14808
glass,mem,MSC04,MSC05,0.5149999999999999,unassign,14808
motor,semantic,MSC04,MSC05,0.5,unassign,14808
motor,glass,MSC04,MSC05,0.5,unassign,14808
motor,mem,MSC04,MSC05,0.5,unassign,14808
mem,semantic,MSC04,MSC05,0.5999999999999999,unassign,14808
mem,glass,MSC04,MSC05,0.5449999999999999,unassign,14808
mem,motor,MSC04,MSC05,0.62,unassign,14808
semantic,glass,MSC04,MSC06,0.5947368421052632,unassign,14808
semantic,motor,MSC04,MSC06,0.595,unassign,14808
semantic,mem,MSC04,MSC06,0.6,unassign,14808
glass,semantic,MSC04,MSC06,0.6200000000000001,unassign,14808
glass,motor,MSC04,MSC06,0.57,unassign,14808
glass,mem,MSC04,MSC06,0.5900000000000001,unassign,14808
motor,semantic,MSC04,MSC06,0.685,unassign,14808
motor,glass,MSC04,MSC06,0.5842105263157895,unassign,14808
motor,mem,MSC04,MSC06,0.5499999999999999,unassign,14808
mem,semantic,MSC04,MSC06,0.8099999999999999,unassign,14808
mem,glass,MSC04,MSC06,0.8,unassign,14808
mem,motor,MSC04,MSC06,0.8099999999999999,unassign,14808
semantic,glass,MSC04,MSC07,0.5199999999999999,unassign,14808
