sub,task,acc,network,feature
MSC10,mem,0.9,visual,8736
MSC01,semantic,0.95,fp,4620
MSC01,glass,0.9,fp,4620
MSC01,motor,1.0,fp,4620
MSC01,mem,1.0,fp,4620
MSC02,semantic,0.85,fp,4620
MSC02,glass,0.85,fp,4620
MSC02,motor,0.85,fp,4620
MSC02,mem,0.95,fp,4620
MSC03,semantic,0.85,fp,4620
MSC03,glass,0.85,fp,4620
MSC03,motor,0.95,fp,4620
MSC03,mem,0.95,fp,4620
MSC04,semantic,0.95,fp,4620
MSC04,glass,1.0,fp,4620
MSC04,motor,1.0,fp,4620
MSC04,mem,1.0,fp,4620
MSC05,semantic,1.0,fp,4620
MSC05,glass,0.95,fp,4620
MSC05,motor,1.0,fp,4620
MSC05,mem,1.0,fp,4620
MSC06,semantic,0.9,fp,4620
MSC06,glass,0.8333333333333334,fp,4620
MSC06,motor,0.95,fp,4620
MSC06,mem,1.0,fp,4620
MSC07,semantic,1.0,fp,4620
MSC07,glass,0.95,fp,4620
MSC07,motor,0.95,fp,4620
MSC07,mem,0.95,fp,4620
MSC10,semantic,0.95,fp,4620
MSC10,glass,0.75,fp,4620
MSC10,motor,0.95,fp,4620
MSC10,mem,1.0,fp,4620
MSC01,semantic,1.0,dan,5264
MSC01,glass,0.9,dan,5264
MSC01,motor,1.0,dan,5264
MSC01,mem,1.0,dan,5264
MSC02,semantic,0.9,dan,5264
MSC02,glass,0.85,dan,5264
MSC02,motor,0.85,dan,5264
MSC02,mem,1.0,dan,5264
MSC03,semantic,0.95,dan,5264
MSC03,glass,0.9,dan,5264
MSC03,motor,0.95,dan,5264
MSC03,mem,0.95,dan,5264
MSC04,semantic,0.95,dan,5264
MSC04,glass,0.95,dan,5264
MSC04,motor,1.0,dan,5264
MSC04,mem,1.0,dan,5264
MSC05,semantic,0.95,dan,5264
MSC05,glass,1.0,dan,5264
MSC05,motor,1.0,dan,5264
MSC05,mem,1.0,dan,5264
MSC06,semantic,0.95,dan,5264
MSC06,glass,0.8333333333333334,dan,5264
MSC06,motor,1.0,dan,5264
MSC06,mem,1.0,dan,5264
MSC07,semantic,1.0,dan,5264
MSC07,glass,0.95,dan,5264
MSC07,motor,0.95,dan,5264
MSC07,mem,0.95,dan,5264
MSC10,semantic,0.8,dan,5264
MSC10,glass,0.85,dan,5264
MSC10,motor,0.9,dan,5264
MSC10,mem,1.0,dan,5264
MSC01,semantic,0.95,van,3151
MSC01,glass,0.8,van,3151
MSC01,motor,0.95,van,3151
MSC01,mem,1.0,van,3151
MSC02,semantic,0.85,van,3151
MSC02,glass,0.8,van,3151
MSC02,motor,0.95,van,3151
MSC02,mem,0.95,van,3151
MSC03,semantic,0.8,van,3151
MSC03,glass,0.8,van,3151
MSC03,motor,1.0,van,3151
MSC03,mem,0.9,van,3151
MSC04,semantic,0.9,van,3151
MSC04,glass,0.9,van,3151
MSC04,motor,0.95,van,3151
MSC04,mem,0.95,van,3151
MSC05,semantic,0.9,van,3151
MSC05,glass,0.75,van,3151
MSC05,motor,1.0,van,3151
MSC05,mem,1.0,van,3151
MSC06,semantic,0.85,van,3151
MSC06,glass,0.7222222222222222,van,3151
MSC06,motor,0.95,van,3151
MSC06,mem,1.0,van,3151
MSC07,semantic,1.0,van,3151
MSC07,glass,0.85,van,3151
MSC07,motor,0.95,van,3151
MSC07,mem,0.9,van,3151
MSC10,semantic,0.8,van,3151
MSC10,glass,0.8,van,3151
MSC10,motor,0.95,van,3151
MSC10,mem,0.9,van,3151
MSC01,semantic,0.9,salience,494
MSC01,glass,0.8,salience,494
MSC01,motor,0.9,salience,494
MSC01,mem,0.85,salience,494
MSC02,semantic,0.85,salience,494
MSC02,glass,0.7,salience,494
MSC02,motor,0.9,salience,494
MSC02,mem,0.9,salience,494
MSC03,semantic,0.8,salience,494
MSC03,glass,0.85,salience,494
MSC03,motor,0.95,salience,494
MSC03,mem,1.0,salience,494
MSC04,semantic,0.9,salience,494
MSC04,glass,0.9,salience,494
MSC04,motor,0.8,salience,494
MSC04,mem,0.9,salience,494
MSC05,semantic,1.0,salience,494
MSC05,glass,0.85,salience,494
MSC05,motor,0.95,salience,494
MSC05,mem,1.0,salience,494
MSC06,semantic,0.8,salience,494
MSC06,glass,0.7222222222222222,salience,494
MSC06,motor,0.85,salience,494
MSC06,mem,0.9,salience,494
MSC07,semantic,0.9,salience,494
MSC07,glass,0.95,salience,494
MSC07,motor,0.85,salience,494
MSC07,mem,0.95,salience,494
MSC10,semantic,0.75,salience,494
MSC10,glass,0.65,salience,494
MSC10,motor,0.8,salience,494
MSC10,mem,0.75,salience,494
MSC01,semantic,1.0,co,4060
MSC01,glass,0.85,co,4060
MSC01,motor,0.95,co,4060
MSC01,mem,1.0,co,4060
MSC02,semantic,0.8,co,4060
MSC02,glass,0.85,co,4060
MSC02,motor,1.0,co,4060
MSC02,mem,0.95,co,4060
MSC03,semantic,0.85,co,4060
MSC03,glass,0.85,co,4060
MSC03,motor,1.0,co,4060
MSC03,mem,1.0,co,4060
MSC04,semantic,0.9,co,4060
MSC04,glass,0.85,co,4060
MSC04,motor,0.95,co,4060
MSC04,mem,0.95,co,4060
MSC05,semantic,0.85,co,4060
MSC05,glass,0.9,co,4060
MSC05,motor,1.0,co,4060
MSC05,mem,1.0,co,4060
MSC06,semantic,0.8,co,4060
MSC06,glass,0.7777777777777778,co,4060
MSC06,motor,0.95,co,4060
MSC06,mem,0.85,co,4060
MSC07,semantic,1.0,co,4060
MSC07,glass,0.95,co,4060
MSC07,motor,1.0,co,4060
MSC07,mem,0.95,co,4060
MSC10,semantic,0.8,co,4060
MSC10,glass,0.9,co,4060
MSC10,motor,0.95,co,4060
MSC10,mem,0.95,co,4060
MSC01,semantic,0.95,sm,2375
MSC01,glass,0.8,sm,2375
MSC01,motor,0.95,sm,2375
MSC01,mem,0.9,sm,2375
MSC02,semantic,0.7,sm,2375
MSC02,glass,0.65,sm,2375
MSC02,motor,1.0,sm,2375
MSC02,mem,0.95,sm,2375
MSC03,semantic,0.85,sm,2375
MSC03,glass,0.85,sm,2375
MSC03,motor,1.0,sm,2375
MSC03,mem,0.85,sm,2375
MSC04,semantic,0.85,sm,2375
MSC04,glass,0.85,sm,2375
MSC04,motor,1.0,sm,2375
MSC04,mem,1.0,sm,2375
MSC05,semantic,0.9,sm,2375
MSC05,glass,0.95,sm,2375
MSC05,motor,1.0,sm,2375
MSC05,mem,1.0,sm,2375
MSC06,semantic,0.85,sm,2375
MSC06,glass,0.8888888888888888,sm,2375
MSC06,motor,0.9,sm,2375
MSC06,mem,1.0,sm,2375
MSC07,semantic,0.9,sm,2375
MSC07,glass,0.9,sm,2375
MSC07,motor,0.95,sm,2375
MSC07,mem,0.8,sm,2375
MSC10,semantic,0.9,sm,2375
MSC10,glass,0.7,sm,2375
MSC10,motor,0.95,sm,2375
MSC10,mem,1.0,sm,2375
MSC01,semantic,0.85,sm-lat,316
MSC01,glass,0.75,sm-lat,316
MSC01,motor,1.0,sm-lat,316
MSC01,mem,0.95,sm-lat,316
MSC02,semantic,0.8,sm-lat,316
MSC02,glass,0.7,sm-lat,316
MSC02,motor,0.85,sm-lat,316
MSC02,mem,0.9,sm-lat,316
MSC03,semantic,0.65,sm-lat,316
MSC03,glass,0.6,sm-lat,316
MSC03,motor,0.95,sm-lat,316
MSC03,mem,0.85,sm-lat,316
MSC04,semantic,0.6,sm-lat,316
