,test_task,train_task,Mean,Std
0,glass,mem,0.8518055555555555,0.12355148374585585
1,glass,motor,0.7414583333333333,0.11692636911172258
2,glass,semantic,0.7421527777777778,0.08635803690403607
3,mem,glass,0.7954166666666667,0.08015733536425976
4,mem,motor,0.6737500000000001,0.11612031937360733
5,mem,semantic,0.6856249999999999,0.09608171745223658
6,motor,glass,0.8290277777777778,0.11024333755119532
7,motor,mem,0.8925000000000001,0.10559356040971439
8,motor,semantic,0.631875,0.12603677184513595
9,semantic,glass,0.8657638888888889,0.09089887082804192
10,semantic,mem,0.89625,0.1013392463813643
11,semantic,motor,0.6725,0.1152016864955916
