train_task,test_task,diff
glass,mem,-0.03784722222222224
glass,motor,-0.11437500000000003
glass,semantic,-0.03506944444444447
mem,glass,0.008333333333333325
mem,motor,-0.08625
mem,semantic,0.04375000000000001
motor,glass,-0.025138888888888905
motor,mem,-0.008125
motor,semantic,-0.021875000000000002
semantic,glass,-0.031041666666666662
semantic,mem,0.005624999999999963
semantic,motor,-0.027499999999999983
glass,mem,-0.0007638888888888695
glass,motor,0.062222222222222276
glass,semantic,-0.034097222222222216
mem,glass,0.11381944444444443
mem,motor,-0.061875
mem,semantic,0.0012500000000000011
motor,glass,-0.08
motor,mem,0.03500000000000003
motor,semantic,-0.041874999999999975
semantic,glass,0.03645833333333332
semantic,mem,0.021875000000000012
semantic,motor,-0.015624999999999993
glass,mem,0.06770833333333336
glass,motor,-0.05597222222222223
glass,semantic,-0.0038194444444444205
mem,glass,0.006875000000000041
mem,motor,-0.006874999999999978
mem,semantic,0.048124999999999994
motor,glass,-0.02729166666666668
motor,mem,-0.010000000000000002
motor,semantic,-0.03250000000000003
semantic,glass,-0.01784722222222218
semantic,mem,-0.06937499999999998
semantic,motor,0.011875000000000007
glass,mem,-0.03027777777777773
glass,motor,0.08993055555555557
glass,semantic,0.0061805555555555294
mem,glass,0.04048611111111111
mem,motor,0.014999999999999975
mem,semantic,-0.013124999999999987
motor,glass,-0.0016666666666666635
motor,mem,-0.02125000000000003
motor,semantic,0.065
semantic,glass,-0.002430555555555547
semantic,mem,-0.06750000000000002
semantic,motor,0.012499999999999976
glass,mem,-0.04305555555555559
glass,motor,-0.05638888888888888
glass,semantic,-0.027638888888888893
mem,glass,-0.00027777777777778304
mem,motor,0.048125
mem,semantic,0.021249999999999963
motor,glass,0.07618055555555558
motor,mem,0.031875000000000035
motor,semantic,-0.08249999999999999
semantic,glass,-0.03374999999999999
semantic,mem,-0.09499999999999997
semantic,motor,0.015
glass,mem,-0.027777777777777776
glass,motor,-0.007916666666666676
glass,semantic,-0.03513888888888889
mem,glass,0.014583333333333323
mem,motor,-0.033125000000000016
mem,semantic,-0.05249999999999996
motor,glass,-0.05395833333333332
motor,mem,0.033124999999999974
motor,semantic,-0.06562500000000002
semantic,glass,0.04006944444444447
semantic,mem,0.03812499999999999
semantic,motor,-0.061875000000000006
glass,mem,0.03506944444444444
glass,motor,0.02812500000000001
glass,semantic,0.03986111111111111
mem,glass,0.010625000000000002
mem,motor,0.02062500000000004
mem,semantic,0.030625
motor,glass,-0.03604166666666669
motor,mem,0.06625000000000003
motor,semantic,0.001250000000000015
semantic,glass,0.02840277777777779
semantic,mem,-0.04124999999999999
semantic,motor,0.017500000000000005
glass,mem,-0.019166666666666617
glass,motor,0.02812499999999997
glass,semantic,-0.018055555555555495
mem,glass,-0.03638888888888892
mem,motor,-0.005624999999999991
mem,semantic,0.018749999999999975
motor,glass,0.007777777777777738
motor,mem,0.06000000000000005
motor,semantic,0.0025000000000000126
semantic,glass,-0.01208333333333331
semantic,mem,0.03375000000000004
semantic,motor,0.03250000000000006
glass,mem,-0.002222222222222195
