acc,train,test,frames,analysis
0.5,MSC01,MSC02,5,BS
0.5,MSC01,MSC03,5,BS
0.5,MSC01,MSC04,5,BS
0.5,MSC01,MSC05,5,BS
0.5,MSC01,MSC06,5,BS
0.5,MSC01,MSC07,5,BS
0.5,MSC01,MSC10,5,BS
0.51,MSC02,MSC01,5,BS
0.51,MSC02,MSC03,5,BS
0.5549999999999999,MSC02,MSC04,5,BS
0.575,MSC02,MSC05,5,BS
0.5549999999999999,MSC02,MSC06,5,BS
0.55,MSC02,MSC07,5,BS
0.5800000000000001,MSC02,MSC10,5,BS
0.50625,MSC03,MSC01,5,BS
0.5,MSC03,MSC02,5,BS
0.50625,MSC03,MSC04,5,BS
0.5125,MSC03,MSC05,5,BS
0.49375,MSC03,MSC06,5,BS
0.54375,MSC03,MSC07,5,BS
0.53125,MSC03,MSC10,5,BS
0.51,MSC04,MSC01,5,BS
0.525,MSC04,MSC02,5,BS
0.495,MSC04,MSC03,5,BS
0.51,MSC04,MSC05,5,BS
0.51,MSC04,MSC06,5,BS
0.505,MSC04,MSC07,5,BS
0.5,MSC04,MSC10,5,BS
0.505,MSC05,MSC01,5,BS
0.525,MSC05,MSC02,5,BS
0.52,MSC05,MSC03,5,BS
0.56,MSC05,MSC04,5,BS
0.5700000000000001,MSC05,MSC06,5,BS
0.505,MSC05,MSC07,5,BS
0.4900000000000001,MSC05,MSC10,5,BS
0.5,MSC06,MSC01,5,BS
0.5,MSC06,MSC02,5,BS
0.5,MSC06,MSC03,5,BS
0.5,MSC06,MSC04,5,BS
0.5,MSC06,MSC05,5,BS
0.5,MSC06,MSC07,5,BS
0.5,MSC06,MSC10,5,BS
0.5,MSC07,MSC01,5,BS
0.5,MSC07,MSC02,5,BS
0.5,MSC07,MSC03,5,BS
0.5,MSC07,MSC04,5,BS
0.5,MSC07,MSC05,5,BS
0.5,MSC07,MSC06,5,BS
0.5,MSC07,MSC10,5,BS
0.4,MSC10,MSC01,5,BS
0.4,MSC10,MSC02,5,BS
0.385,MSC10,MSC03,5,BS
0.505,MSC10,MSC04,5,BS
0.475,MSC10,MSC05,5,BS
0.47,MSC10,MSC06,5,BS
0.495,MSC10,MSC07,5,BS
0.525,MSC01,MSC02,10,BS
0.4900000000000001,MSC01,MSC03,10,BS
0.545,MSC01,MSC04,10,BS
0.5599999999999999,MSC01,MSC05,10,BS
0.585,MSC01,MSC06,10,BS
0.525,MSC01,MSC07,10,BS
0.57,MSC01,MSC10,10,BS
0.495,MSC02,MSC01,10,BS
0.47,MSC02,MSC03,10,BS
