train_task,test_task,diff
motor,mem,0.03267857142857143
motor,semantic,-0.0038392857142857443
semantic,glass,0.03425595238095246
semantic,mem,-0.12187499999999994
semantic,motor,0.005982142857142901
glass,mem,0.03658730158730154
glass,motor,0.006716269841269835
glass,semantic,0.014751984126984108
mem,glass,0.043095238095238075
mem,motor,-0.0020535714285714332
mem,semantic,-0.00839285714285714
motor,glass,-0.032966269841269824
motor,mem,-0.03169642857142856
motor,semantic,-0.041964285714285746
semantic,glass,-0.08453373015873013
semantic,mem,-0.05249999999999999
semantic,motor,-0.03696428571428575
glass,mem,3.968253968255382e-05
glass,motor,-0.052331349206349166
glass,semantic,-0.02816468253968254
mem,glass,-0.0504861111111111
mem,motor,-0.03767857142857139
mem,semantic,0.005803571428571398
motor,glass,0.059821428571428595
motor,mem,0.0014285714285714516
motor,semantic,0.02107142857142859
semantic,glass,-0.04443452380952379
semantic,mem,-0.03839285714285712
semantic,motor,-0.027321428571428597
glass,mem,-0.14380952380952383
glass,motor,-0.031210317460317504
glass,semantic,0.09564484126984123
mem,glass,0.047123015873015886
mem,motor,-0.014374999999999976
mem,semantic,0.08794642857142855
motor,glass,-0.11593253968253972
motor,mem,-0.08187499999999996
motor,semantic,-0.015624999999999981
semantic,glass,-0.03635912698412698
semantic,mem,-0.06339285714285714
semantic,motor,-0.031875000000000014
glass,mem,-0.09375992063492063
glass,motor,0.035694444444444494
glass,semantic,-0.025902777777777778
mem,glass,-0.04103174603174605
mem,motor,-8.928571428574311e-05
mem,semantic,-0.0763392857142857
motor,glass,0.003938492063492063
motor,mem,-0.0019642857142857036
motor,semantic,0.01116071428571432
semantic,glass,0.10259920634920631
semantic,mem,-0.0607142857142857
semantic,motor,-0.027589285714285726
glass,mem,-0.022212301587301603
glass,motor,0.1457936507936508
glass,semantic,-0.1319444444444444
mem,glass,0.04725198412698412
mem,motor,0.027857142857142858
mem,semantic,-0.06741071428571425
motor,glass,0.03400793650793656
motor,mem,0.02151785714285707
motor,semantic,0.03062499999999999
semantic,glass,0.015109126984126977
