Test_variables,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC08,MSC09,MSC10
MSC01,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MSC02,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
MSC03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSC04,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
MSC05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSC06,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
MSC07,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
MSC08,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
MSC09,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
MSC10,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
