task,acc
mixed,1.0
motor,0.5
mem,0.675
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.89
motor,0.5
mem,1.0
mixed,0.5
motor,1.0
mem,0.5999999999999999
mixed,0.5
motor,1.0
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,1.0
motor,1.0
mem,1.0
mixed,0.32999999999999996
motor,1.0
mem,0.5
mixed,0.5
motor,1.0
mem,0.5
mixed,1.0
motor,0.5
mem,0.6049999999999999
mixed,0.5
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,0.5562499999999999
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,1.0
mem,0.93125
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5499999999999999
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,1.0
mixed,0.9100000000000001
motor,0.505
mem,0.5
mixed,0.5
motor,1.0
mem,0.86
mixed,0.5
motor,0.5
mem,0.65
mixed,0.505
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,0.45500000000000007
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,1.0
mixed,0.62
motor,0.97
mem,0.505
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,1.0
mem,0.5
mixed,0.74
motor,1.0
mem,0.76875
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,1.0
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,0.835
mixed,0.54
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,1.0
mixed,0.9199999999999999
motor,0.5
mem,1.0
mixed,1.0
motor,1.0
mem,1.0
mixed,0.5
motor,1.0
mem,0.5
mixed,0.99
motor,0.5
mem,0.5
mixed,1.0
motor,0.5
mem,0.5499999999999999
mixed,0.5
motor,1.0
mem,0.5
mixed,1.0
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,1.0
motor,1.0
mem,0.5125
mixed,0.5
motor,1.0
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5499999999999999
motor,0.5
mem,0.5
mixed,0.5
motor,1.0
mem,0.5
