,test_task,train_task,Mean,Std
0,glass,mem,0.5572123015873016,0.1135022751059413
1,glass,motor,0.5673809523809522,0.09041683706702214
2,glass,semantic,0.5343353174603175,0.05034910891125847
3,mem,glass,0.5541765873015873,0.0773817472301649
4,mem,motor,0.559732142857143,0.1143933391372113
5,mem,semantic,0.5358928571428573,0.06474500432014495
6,motor,glass,0.5674404761904762,0.07759413229544296
7,motor,mem,0.5883035714285713,0.12742654492157177
8,motor,semantic,0.5561607142857142,0.09693480035302346
9,semantic,glass,0.5634424603174601,0.08749265928116731
10,semantic,mem,0.5630357142857143,0.10196558497591487
11,semantic,motor,0.5989285714285713,0.10265880950425621
