train_sub,test_sub,cv_acc,acc
MSC01,MSC02,0.9666666666666666,0.5
MSC01,MSC03,0.9666666666666666,0.5133333333333334
MSC01,MSC04,0.9666666666666666,0.5366666666666666
MSC01,MSC05,0.9666666666666666,0.5466666666666666
MSC01,MSC06,0.9666666666666666,0.6799999999999999
MSC01,MSC07,0.9666666666666666,0.5
MSC01,MSC10,0.9666666666666666,0.5
MSC02,MSC01,0.9833333333333332,0.9
MSC02,MSC03,0.9833333333333332,0.6000000000000001
MSC02,MSC04,0.9833333333333332,0.8033333333333335
MSC02,MSC05,0.9833333333333332,0.7966666666666666
MSC02,MSC06,0.9833333333333332,0.8633333333333333
MSC02,MSC07,0.9833333333333332,0.6166666666666666
MSC02,MSC10,0.9833333333333332,0.7933333333333333
MSC03,MSC01,0.9833333333333332,0.53
MSC03,MSC02,0.9833333333333332,0.51
MSC03,MSC04,0.9833333333333332,0.6566666666666666
MSC03,MSC05,0.9833333333333332,0.6566666666666666
MSC03,MSC06,0.9833333333333332,0.6700000000000002
MSC03,MSC07,0.9833333333333332,0.62
MSC03,MSC10,0.9833333333333332,0.6333333333333333
MSC04,MSC01,0.9333333333333332,0.5233333333333333
MSC04,MSC02,0.9333333333333332,0.5199999999999999
MSC04,MSC03,0.9333333333333332,0.5533333333333333
MSC04,MSC05,0.9333333333333332,0.8733333333333333
MSC04,MSC06,0.9333333333333332,0.6833333333333332
MSC04,MSC07,0.9333333333333332,0.57
MSC04,MSC10,0.9333333333333332,0.6366666666666667
MSC05,MSC01,0.9833333333333332,0.6100000000000001
MSC05,MSC02,0.9833333333333332,0.5066666666666666
MSC05,MSC03,0.9833333333333332,0.61
MSC05,MSC04,0.9833333333333332,0.7966666666666667
MSC05,MSC06,0.9833333333333332,0.7633333333333333
MSC05,MSC07,0.9833333333333332,0.6
MSC05,MSC10,0.9833333333333332,0.6466666666666666
MSC06,MSC01,0.9666666666666668,0.6300000000000001
MSC06,MSC02,0.9666666666666668,0.6900000000000001
MSC06,MSC03,0.9666666666666668,0.6666666666666667
MSC06,MSC04,0.9666666666666668,0.8466666666666667
MSC06,MSC05,0.9666666666666668,0.9133333333333333
MSC06,MSC07,0.9666666666666668,0.5633333333333335
MSC06,MSC10,0.9666666666666668,0.5833333333333334
MSC07,MSC01,0.9666666666666666,0.6500000000000001
MSC07,MSC02,0.9666666666666666,0.5733333333333335
MSC07,MSC03,0.9666666666666666,0.5966666666666666
MSC07,MSC04,0.9666666666666666,0.8366666666666667
MSC07,MSC05,0.9666666666666666,0.8233333333333335
MSC07,MSC06,0.9666666666666666,0.8099999999999999
MSC07,MSC10,0.9666666666666666,0.6933333333333335
MSC10,MSC01,0.9166666666666667,0.5166666666666668
MSC10,MSC02,0.9166666666666667,0.5333333333333334
MSC10,MSC03,0.9166666666666667,0.5666666666666667
MSC10,MSC04,0.9166666666666667,0.65
MSC10,MSC05,0.9166666666666667,0.5833333333333334
MSC10,MSC06,0.9166666666666667,0.6833333333333333
MSC10,MSC07,0.9166666666666667,0.6666666666666667
