acc,train_sub
0.9666666666666666,MSC01
0.9666666666666666,MSC01
0.9666666666666666,MSC01
0.9666666666666666,MSC01
0.9666666666666666,MSC01
0.9666666666666666,MSC01
0.9666666666666666,MSC01
0.9833333333333334,MSC02
0.9833333333333334,MSC02
0.9833333333333334,MSC02
0.9833333333333334,MSC02
0.9833333333333334,MSC02
0.9833333333333334,MSC02
0.9833333333333334,MSC02
0.9833333333333332,MSC03
0.9833333333333332,MSC03
0.9833333333333332,MSC03
0.9833333333333332,MSC03
0.9833333333333332,MSC03
0.9833333333333332,MSC03
0.9833333333333332,MSC03
0.9833333333333332,MSC04
0.9833333333333332,MSC04
0.9833333333333332,MSC04
0.9833333333333332,MSC04
0.9833333333333332,MSC04
0.9833333333333332,MSC04
0.9833333333333332,MSC04
0.9833333333333334,MSC05
0.9833333333333334,MSC05
0.9833333333333334,MSC05
0.9833333333333334,MSC05
0.9833333333333334,MSC05
0.9833333333333334,MSC05
0.9833333333333334,MSC05
0.9666666666666668,MSC06
0.9666666666666668,MSC06
0.9666666666666668,MSC06
0.9666666666666668,MSC06
0.9666666666666668,MSC06
0.9666666666666668,MSC06
0.9666666666666668,MSC06
0.9833333333333334,MSC07
0.9833333333333334,MSC07
0.9833333333333334,MSC07
0.9833333333333334,MSC07
0.9833333333333334,MSC07
0.9833333333333334,MSC07
0.9833333333333334,MSC07
0.9,MSC10
0.9,MSC10
0.9,MSC10
0.9,MSC10
0.9,MSC10
0.9,MSC10
0.9,MSC10
