sub,glass,semantic,motor,mem
MSC01,0.65,0.75,0.65,0.8
MSC02,0.55,0.75,0.85,0.6
MSC03,0.85,0.9,0.8,0.55
MSC04,0.75,0.7,0.6,0.7
MSC05,0.8,0.8,0.9,0.7
MSC06,0.7592592592592592,0.65,0.7,0.9
MSC07,0.7,0.7,0.8,0.8
MSC10,0.45,0.5,0.55,0.55
