sub,glass,semantic,motor,mem
MSC01,0.95,0.85,0.95,0.95
MSC02,0.9,0.9,0.95,0.95
MSC03,0.85,0.8,0.8,0.95
MSC04,0.9,0.95,0.95,0.9
MSC05,0.85,0.85,0.8,0.95
MSC06,0.5555555555555556,0.9,0.85,0.85
MSC07,0.9,0.9,0.8,0.6
MSC10,0.75,0.85,0.95,0.85
