sub,glass,semantic,motor,mem
MSC01,0.8,0.95,0.85,1.0
MSC02,0.75,0.85,0.85,0.8
MSC03,0.7,0.85,0.85,0.95
MSC04,0.85,0.9,0.95,0.9
MSC05,0.85,0.85,0.95,0.95
MSC06,0.7222222222222222,0.85,0.8,0.75
MSC07,0.6,0.8,0.65,0.85
MSC10,0.8,0.85,0.95,0.9
