sub,glass,semantic,motor,mem
MSC01,0.85,0.75,0.95,0.9
MSC02,0.85,0.85,1.0,0.9
MSC03,0.85,0.75,0.95,0.9
MSC04,0.9,0.9,0.95,1.0
MSC05,0.9,0.85,0.95,0.95
MSC06,0.8888888888888888,0.75,0.95,1.0
MSC07,0.9,0.9,0.95,0.85
MSC10,0.75,0.7,0.9,0.9
