sub,glass,semantic,motor,mem
MSC01,0.6,0.85,0.7,0.9
MSC02,0.6,0.7,0.9,0.65
MSC03,0.5,0.8,1.0,0.55
MSC04,0.6,0.95,0.8,0.85
MSC05,0.85,0.85,0.9,0.9
MSC06,0.6666666666666666,0.8,0.7,0.85
MSC07,0.85,0.8,0.65,0.95
MSC10,0.65,0.65,0.6,0.85
