train_sub,test_sub,task,acc,spec,sen
MSC04,MSC03,mem,0.7600000000000001,0.5200000000000001,1.0
MSC04,MSC05,glass,0.595,1.0,0.19
MSC04,MSC05,semantic,0.525,1.0,0.05
MSC04,MSC05,motor,0.97,1.0,0.9400000000000001
MSC04,MSC05,mem,0.9400000000000001,1.0,0.8800000000000001
MSC04,MSC06,glass,0.8611111111111109,1.0,0.7222222222222222
MSC04,MSC06,semantic,0.6300000000000001,1.0,0.26
MSC04,MSC06,motor,0.945,1.0,0.8900000000000002
MSC04,MSC06,mem,1.0,1.0,1.0
MSC04,MSC07,glass,0.74,0.85,0.63
MSC04,MSC07,semantic,0.9349999999999999,1.0,0.8700000000000001
MSC04,MSC07,motor,0.9799999999999999,0.9600000000000002,1.0
MSC04,MSC07,mem,0.8700000000000001,0.74,1.0
MSC04,MSC10,glass,0.7949999999999999,0.99,0.5999999999999999
MSC04,MSC10,semantic,0.705,1.0,0.41
MSC04,MSC10,motor,0.9899999999999999,0.99,0.99
MSC04,MSC10,mem,0.925,0.85,1.0
MSC05,MSC01,glass,0.5499999999999999,1.0,0.09999999999999999
MSC05,MSC01,semantic,0.885,1.0,0.7700000000000001
MSC05,MSC01,motor,0.625,1.0,0.25
MSC05,MSC01,mem,1.0,1.0,1.0
MSC05,MSC02,glass,0.68,1.0,0.36
MSC05,MSC02,semantic,0.8249999999999998,1.0,0.65
MSC05,MSC02,motor,0.905,1.0,0.8099999999999999
MSC05,MSC02,mem,0.77,0.5399999999999999,1.0
MSC05,MSC03,glass,0.6049999999999999,1.0,0.20999999999999996
MSC05,MSC03,semantic,0.9400000000000001,1.0,0.8800000000000001
MSC05,MSC03,motor,0.845,1.0,0.6900000000000001
MSC05,MSC03,mem,0.93,0.93,0.93
MSC05,MSC04,glass,0.505,1.0,0.01
MSC05,MSC04,semantic,0.685,1.0,0.37
MSC05,MSC04,motor,0.7050000000000002,1.0,0.41
MSC05,MSC04,mem,0.8150000000000001,0.9400000000000001,0.6900000000000001
MSC05,MSC06,glass,0.6,1.0,0.20000000000000004
MSC05,MSC06,semantic,0.7300000000000001,1.0,0.4600000000000001
MSC05,MSC06,motor,0.76,1.0,0.52
MSC05,MSC06,mem,1.0,1.0,1.0
MSC05,MSC07,glass,0.5449999999999999,1.0,0.09
MSC05,MSC07,semantic,0.8099999999999998,1.0,0.6199999999999999
MSC05,MSC07,motor,0.6700000000000002,1.0,0.33999999999999997
MSC05,MSC07,mem,0.9200000000000002,0.9500000000000002,0.8900000000000002
MSC05,MSC10,glass,0.505,1.0,0.01
