train_task,test_task,sub,acc
mixed,motor,MSC01,0.6449999999999999
mixed,mem,MSC01,0.5
motor,mixed,MSC01,0.505
motor,mem,MSC01,0.5
mem,mixed,MSC01,0.43500000000000005
mem,motor,MSC01,0.6099999999999999
mixed,motor,MSC02,0.43499999999999994
mixed,mem,MSC02,0.4999999999999999
motor,mixed,MSC02,0.51
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.5650000000000001
mem,motor,MSC02,0.39999999999999997
mixed,motor,MSC03,0.43
mixed,mem,MSC03,0.45499999999999996
motor,mixed,MSC03,0.51
motor,mem,MSC03,0.45999999999999996
mem,mixed,MSC03,0.5
mem,motor,MSC03,0.5
mixed,motor,MSC04,0.4700000000000001
mixed,mem,MSC04,0.56
motor,mixed,MSC04,0.41
motor,mem,MSC04,0.5449999999999999
mem,mixed,MSC04,0.48
mem,motor,MSC04,0.325
mixed,motor,MSC05,0.39
mixed,mem,MSC05,0.4
motor,mixed,MSC05,0.45
motor,mem,MSC05,0.52
mem,mixed,MSC05,0.43999999999999995
mem,motor,MSC05,0.41
mixed,motor,MSC06,0.5850000000000001
mixed,mem,MSC06,0.4
motor,mixed,MSC06,0.505
motor,mem,MSC06,0.505
mem,mixed,MSC06,0.35
mem,motor,MSC06,0.575
mixed,motor,MSC07,0.48
mixed,mem,MSC07,0.37999999999999995
motor,mixed,MSC07,0.5
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.465
mem,motor,MSC07,0.39
mixed,motor,MSC10,0.3650000000000001
mixed,mem,MSC10,0.5299999999999999
motor,mixed,MSC10,0.45
motor,mem,MSC10,0.525
mem,mixed,MSC10,0.43000000000000005
mem,motor,MSC10,0.35000000000000003
