train_task,test_task,sub,acc
mixed,motor,MSC01,0.5900000000000001
mixed,mem,MSC01,0.42000000000000004
motor,mixed,MSC01,0.465
motor,mem,MSC01,0.6400000000000001
mem,mixed,MSC01,0.445
mem,motor,MSC01,0.48
mixed,motor,MSC02,0.44000000000000006
mixed,mem,MSC02,0.45500000000000007
motor,mixed,MSC02,0.615
motor,mem,MSC02,0.52
mem,mixed,MSC02,0.40499999999999997
mem,motor,MSC02,0.615
mixed,motor,MSC03,0.6849999999999999
mixed,mem,MSC03,0.6699999999999999
motor,mixed,MSC03,0.35500000000000004
motor,mem,MSC03,0.5399999999999999
mem,mixed,MSC03,0.6500000000000001
mem,motor,MSC03,0.45499999999999996
mixed,motor,MSC04,0.505
mixed,mem,MSC04,0.42000000000000004
motor,mixed,MSC04,0.5900000000000001
motor,mem,MSC04,0.5799999999999998
mem,mixed,MSC04,0.565
mem,motor,MSC04,0.575
mixed,motor,MSC05,0.47000000000000003
mixed,mem,MSC05,0.565
motor,mixed,MSC05,0.355
motor,mem,MSC05,0.5149999999999999
mem,mixed,MSC05,0.4849999999999999
mem,motor,MSC05,0.605
mixed,motor,MSC06,0.4049999999999999
mixed,mem,MSC06,0.5650000000000001
motor,mixed,MSC06,0.72
motor,mem,MSC06,0.6049999999999999
mem,mixed,MSC06,0.515
mem,motor,MSC06,0.6900000000000001
mixed,motor,MSC07,0.565
mixed,mem,MSC07,0.6799999999999999
motor,mixed,MSC07,0.595
motor,mem,MSC07,0.27
mem,mixed,MSC07,0.5700000000000001
mem,motor,MSC07,0.6299999999999999
mixed,motor,MSC10,0.445
mixed,mem,MSC10,0.74
motor,mixed,MSC10,0.445
motor,mem,MSC10,0.535
mem,mixed,MSC10,0.57
mem,motor,MSC10,0.355
