train_task,test_task,train_sub,test_sub,acc,spec,sen
glass,semantic,MSC01,MSC02,0.53,1.0,0.06
glass,motor,MSC01,MSC02,0.5,1.0,0.0
glass,mem,MSC01,MSC02,0.5,1.0,0.0
semantic,glass,MSC01,MSC02,0.585,1.0,0.16999999999999998
semantic,motor,MSC01,MSC02,0.5,1.0,0.0
semantic,mem,MSC01,MSC02,0.565,1.0,0.13
motor,glass,MSC01,MSC02,0.6649999999999999,0.9000000000000001,0.43
motor,semantic,MSC01,MSC02,0.725,0.9000000000000001,0.55
motor,mem,MSC01,MSC02,0.7050000000000001,0.9000000000000001,0.51
mem,glass,MSC01,MSC02,0.6700000000000002,1.0,0.33999999999999997
mem,semantic,MSC01,MSC02,0.76,1.0,0.52
mem,motor,MSC01,MSC02,0.5449999999999999,1.0,0.09
glass,semantic,MSC01,MSC03,0.5149999999999999,1.0,0.030000000000000006
glass,motor,MSC01,MSC03,0.5,1.0,0.0
glass,mem,MSC01,MSC03,0.6,1.0,0.2
semantic,glass,MSC01,MSC03,0.5,1.0,0.0
semantic,motor,MSC01,MSC03,0.5199999999999999,1.0,0.04
semantic,mem,MSC01,MSC03,0.59,1.0,0.18
motor,glass,MSC01,MSC03,0.6,1.0,0.2
motor,semantic,MSC01,MSC03,0.85,1.0,0.7000000000000001
motor,mem,MSC01,MSC03,0.6900000000000001,1.0,0.38
mem,glass,MSC01,MSC03,0.555,1.0,0.11000000000000001
mem,semantic,MSC01,MSC03,0.6950000000000001,1.0,0.38999999999999996
mem,motor,MSC01,MSC03,0.72,1.0,0.44000000000000006
glass,semantic,MSC01,MSC04,0.66,1.0,0.31999999999999995
glass,motor,MSC01,MSC04,0.5399999999999999,1.0,0.07999999999999999
glass,mem,MSC01,MSC04,0.5149999999999999,1.0,0.030000000000000006
semantic,glass,MSC01,MSC04,0.5,1.0,0.0
semantic,motor,MSC01,MSC04,0.5,1.0,0.0
semantic,mem,MSC01,MSC04,0.5,1.0,0.0
motor,glass,MSC01,MSC04,0.745,1.0,0.49000000000000005
motor,semantic,MSC01,MSC04,0.7150000000000001,1.0,0.43
motor,mem,MSC01,MSC04,0.6500000000000001,1.0,0.29999999999999993
mem,glass,MSC01,MSC04,0.755,1.0,0.51
mem,semantic,MSC01,MSC04,0.7949999999999999,1.0,0.59
