train,task,same_subT,same_subR,diff_subT,diff_subR
MSC01,semantic,0.9,1.0,0.10679611650485436,1.0
MSC02,semantic,0.7,1.0,0.1354368932038835,0.993
MSC03,semantic,0.8,1.0,0.016826923076923076,1.0
MSC04,semantic,0.9,1.0,0.13689320388349516,1.0
MSC05,semantic,0.9,1.0,0.42524271844660194,1.0
MSC06,semantic,0.9,1.0,0.3879227053140097,0.985
MSC07,semantic,1.0,1.0,0.027184466019417475,1.0
MSC10,semantic,0.8,1.0,0.09268292682926829,1.0
MSC01,glass,0.8,1.0,0.141747572815534,1.0
MSC02,glass,0.8,1.0,0.24757281553398058,0.997
MSC03,glass,0.8,1.0,0.17403846153846153,1.0
MSC04,glass,0.9,1.0,0.3820388349514563,0.987
MSC05,glass,0.9,1.0,0.4961165048543689,0.952
MSC06,glass,0.6666666666666666,1.0,0.1937734836285561,1.0
MSC07,glass,0.9,1.0,0.09033816425120773,1.0
MSC10,glass,0.7,1.0,0.06941747572815533,0.999
MSC01,motor,1.0,1.0,0.4463768115942029,0.987
MSC02,motor,0.9,1.0,0.10434782608695653,1.0
MSC03,motor,0.9,1.0,0.23110047846889953,0.998
MSC04,motor,1.0,1.0,0.33671497584541066,0.994
MSC05,motor,1.0,1.0,0.4444444444444444,0.942
MSC06,motor,1.0,1.0,0.27724358974358976,1.0
MSC07,motor,0.8888888888888888,1.0,0.10574342458400429,0.9988888888888889
MSC10,motor,0.9,1.0,0.12222222222222222,0.997
MSC01,mem,1.0,1.0,0.42403846153846153,0.999
MSC02,mem,1.0,1.0,0.7456730769230769,0.992
MSC03,mem,0.875,1.0,0.2590144230769231,0.9975
MSC04,mem,1.0,1.0,0.43365384615384617,0.99
MSC05,mem,1.0,1.0,0.7716346153846154,0.942
MSC06,mem,1.0,1.0,0.49617224880382776,0.997
MSC07,mem,1.0,1.0,0.4096153846153846,0.985
MSC10,mem,0.9,1.0,0.33719806763285026,0.985
