train_task,test_task,train_sub,test_sub,acc
semantic,mem,MSC02,MSC05,0.5
glass,semantic,MSC02,MSC05,0.5149999999999999
glass,motor,MSC02,MSC05,0.51
glass,mem,MSC02,MSC05,0.505
motor,semantic,MSC02,MSC05,0.65
motor,glass,MSC02,MSC05,0.65
motor,mem,MSC02,MSC05,0.6300000000000001
mem,semantic,MSC02,MSC05,0.69
mem,glass,MSC02,MSC05,0.5449999999999999
mem,motor,MSC02,MSC05,0.505
semantic,glass,MSC02,MSC06,0.5444444444444444
semantic,motor,MSC02,MSC06,0.52
semantic,mem,MSC02,MSC06,0.595
glass,semantic,MSC02,MSC06,0.66
glass,motor,MSC02,MSC06,0.755
glass,mem,MSC02,MSC06,0.6699999999999999
motor,semantic,MSC02,MSC06,0.6349999999999999
motor,glass,MSC02,MSC06,0.5277777777777777
motor,mem,MSC02,MSC06,0.57
mem,semantic,MSC02,MSC06,0.595
mem,glass,MSC02,MSC06,0.5222222222222221
mem,motor,MSC02,MSC06,0.67
semantic,glass,MSC02,MSC07,0.68
semantic,motor,MSC02,MSC07,0.515
semantic,mem,MSC02,MSC07,0.51
glass,semantic,MSC02,MSC07,0.5
glass,motor,MSC02,MSC07,0.5599999999999998
glass,mem,MSC02,MSC07,0.5
motor,semantic,MSC02,MSC07,0.51
motor,glass,MSC02,MSC07,0.5449999999999999
motor,mem,MSC02,MSC07,0.7100000000000001
mem,semantic,MSC02,MSC07,0.5449999999999999
mem,glass,MSC02,MSC07,0.5149999999999999
mem,motor,MSC02,MSC07,0.61
semantic,glass,MSC02,MSC10,0.5199999999999999
semantic,motor,MSC02,MSC10,0.5499999999999999
semantic,mem,MSC02,MSC10,0.5549999999999999
glass,semantic,MSC02,MSC10,0.595
glass,motor,MSC02,MSC10,0.565
glass,mem,MSC02,MSC10,0.545
motor,semantic,MSC02,MSC10,0.48
motor,glass,MSC02,MSC10,0.45500000000000007
motor,mem,MSC02,MSC10,0.48
mem,semantic,MSC02,MSC10,0.7250000000000001
mem,glass,MSC02,MSC10,0.7649999999999999
mem,motor,MSC02,MSC10,0.5999999999999999
semantic,glass,MSC03,MSC01,0.5
semantic,motor,MSC03,MSC01,0.565
semantic,mem,MSC03,MSC01,0.5399999999999999
glass,semantic,MSC03,MSC01,0.5899999999999999
glass,motor,MSC03,MSC01,0.7899999999999999
glass,mem,MSC03,MSC01,0.6600000000000001
motor,semantic,MSC03,MSC01,0.62
motor,glass,MSC03,MSC01,0.57
motor,mem,MSC03,MSC01,0.7649999999999999
mem,semantic,MSC03,MSC01,0.645
mem,glass,MSC03,MSC01,0.5149999999999999
mem,motor,MSC03,MSC01,0.625
semantic,glass,MSC03,MSC02,0.58
semantic,motor,MSC03,MSC02,0.525
semantic,mem,MSC03,MSC02,0.6149999999999999
glass,semantic,MSC03,MSC02,0.59
glass,motor,MSC03,MSC02,0.6850000000000002
glass,mem,MSC03,MSC02,0.51
motor,semantic,MSC03,MSC02,0.6149999999999999
motor,glass,MSC03,MSC02,0.705
motor,mem,MSC03,MSC02,0.63
mem,semantic,MSC03,MSC02,0.745
mem,glass,MSC03,MSC02,0.64
mem,motor,MSC03,MSC02,0.6700000000000002
semantic,glass,MSC03,MSC04,0.5
semantic,motor,MSC03,MSC04,0.5
semantic,mem,MSC03,MSC04,0.5
glass,semantic,MSC03,MSC04,0.6000000000000001
glass,motor,MSC03,MSC04,0.75
glass,mem,MSC03,MSC04,0.6150000000000001
motor,semantic,MSC03,MSC04,0.7899999999999999
motor,glass,MSC03,MSC04,0.8800000000000001
motor,mem,MSC03,MSC04,0.7100000000000001
mem,semantic,MSC03,MSC04,0.6599999999999999
mem,glass,MSC03,MSC04,0.8049999999999999
mem,motor,MSC03,MSC04,0.7050000000000001
semantic,glass,MSC03,MSC05,0.5
semantic,motor,MSC03,MSC05,0.505
semantic,mem,MSC03,MSC05,0.5
glass,semantic,MSC03,MSC05,0.595
glass,motor,MSC03,MSC05,0.6900000000000002
glass,mem,MSC03,MSC05,0.515
motor,semantic,MSC03,MSC05,0.61
motor,glass,MSC03,MSC05,0.595
motor,mem,MSC03,MSC05,0.635
mem,semantic,MSC03,MSC05,0.6950000000000001
mem,glass,MSC03,MSC05,0.56
mem,motor,MSC03,MSC05,0.585
semantic,glass,MSC03,MSC06,0.5
semantic,motor,MSC03,MSC06,0.53
semantic,mem,MSC03,MSC06,0.5
glass,semantic,MSC03,MSC06,0.775
glass,motor,MSC03,MSC06,0.6500000000000001
glass,mem,MSC03,MSC06,0.5449999999999999
motor,semantic,MSC03,MSC06,0.7500000000000001
motor,glass,MSC03,MSC06,0.5944444444444444
motor,mem,MSC03,MSC06,0.7250000000000001
mem,semantic,MSC03,MSC06,0.6249999999999999
mem,glass,MSC03,MSC06,0.611111111111111
mem,motor,MSC03,MSC06,0.685
semantic,glass,MSC03,MSC07,0.505
semantic,motor,MSC03,MSC07,0.5
semantic,mem,MSC03,MSC07,0.5
glass,semantic,MSC03,MSC07,0.625
glass,motor,MSC03,MSC07,0.6250000000000001
glass,mem,MSC03,MSC07,0.4450000000000001
motor,semantic,MSC03,MSC07,0.555
motor,glass,MSC03,MSC07,0.6
motor,mem,MSC03,MSC07,0.55
mem,semantic,MSC03,MSC07,0.53
mem,glass,MSC03,MSC07,0.5449999999999999
