train,same_sub,diff_sub,feature,Null_Network
MSC01,0.9875,0.5603603603603604,14808,unassign
MSC02,0.975,0.8506306306306306,14808,unassign
MSC03,0.984375,0.8137342908438061,14808,unassign
MSC04,0.9875,0.6160360360360361,14808,unassign
MSC05,0.9875,0.7372972972972973,14808,unassign
MSC06,0.9722222222222222,0.8318372232196289,14808,unassign
MSC07,0.9861111111111112,0.8197442046362909,14808,unassign
MSC10,0.9375,0.6306306306306306,14808,unassign
MSC01,0.9875,0.5852252252252252,14808,unassign
MSC02,0.975,0.8481081081081081,14808,unassign
MSC03,0.96875,0.8018402154398564,14808,unassign
MSC04,0.9875,0.6565765765765765,14808,unassign
MSC05,0.9875,0.727027027027027,14808,unassign
MSC06,0.9722222222222222,0.8452024735687214,14808,unassign
MSC07,0.9861111111111112,0.8127498001598721,14808,unassign
MSC10,0.95,0.592972972972973,14808,unassign
MSC01,1.0,0.5954954954954955,14808,unassign
MSC02,0.9875,0.8443243243243244,14808,unassign
MSC03,0.953125,0.8072262118491921,14808,unassign
MSC04,0.9875,0.6181981981981982,14808,unassign
MSC05,0.9875,0.6956756756756757,14808,unassign
MSC06,0.9722222222222222,0.8507879513265509,14808,unassign
MSC07,0.9861111111111112,0.8301358912869704,14808,unassign
MSC10,0.9375,0.5886486486486486,14808,unassign
MSC01,1.0,0.5956756756756757,14808,unassign
MSC02,0.9875,0.8263063063063063,14808,unassign
MSC03,0.96875,0.8090215439856373,14808,unassign
MSC04,0.9875,0.6663063063063063,14808,unassign
MSC05,0.9875,0.7032432432432433,14808,unassign
MSC06,0.9722222222222222,0.8188709355675244,14808,unassign
MSC07,0.9861111111111112,0.8319344524380495,14808,unassign
MSC10,0.9625,0.5832432432432433,14808,unassign
MSC01,1.0,0.5845045045045045,14808,unassign
MSC02,0.9875,0.865945945945946,14808,unassign
MSC03,0.96875,0.8094703770197487,14808,unassign
MSC04,0.9875,0.7023423423423424,14808,unassign
MSC05,0.9875,0.7192792792792793,14808,unassign
MSC06,0.9722222222222222,0.8168761220825853,14808,unassign
MSC07,0.9861111111111112,0.8051558752997602,14808,unassign
MSC10,0.95,0.6131531531531531,14808,unassign
MSC01,0.9875,0.5827027027027027,14808,unassign
MSC02,0.9875,0.8554954954954955,14808,unassign
MSC03,0.96875,0.8049820466786356,14808,unassign
MSC04,0.9875,0.665045045045045,14808,unassign
MSC05,0.9875,0.7254054054054054,14808,unassign
MSC06,0.9583333333333334,0.834230999401556,14808,unassign
MSC07,0.9861111111111112,0.823541167066347,14808,unassign
MSC10,0.9375,0.5951351351351352,14808,unassign
MSC01,1.0,0.5837837837837838,14808,unassign
MSC02,0.9875,0.8495495495495495,14808,unassign
MSC03,0.96875,0.8188958707360862,14808,unassign
MSC04,0.9875,0.6043243243243244,14808,unassign
MSC05,0.9875,0.6996396396396396,14808,unassign
MSC06,0.9722222222222222,0.8228605625374028,14808,unassign
MSC07,0.9861111111111112,0.8079536370903277,14808,unassign
MSC10,0.9625,0.6124324324324324,14808,unassign
MSC01,0.975,0.563963963963964,14808,unassign
MSC02,0.9875,0.8405405405405405,14808,unassign
MSC03,0.96875,0.8056552962298025,14808,unassign
MSC04,0.9875,0.6607207207207207,14808,unassign
MSC05,0.9875,0.7028828828828829,14808,unassign
MSC06,0.9722222222222222,0.8256533014163175,14808,unassign
MSC07,0.9861111111111112,0.8141486810551559,14808,unassign
MSC10,0.9625,0.5801801801801801,14808,unassign
MSC01,0.9875,0.581981981981982,14808,unassign
MSC02,0.975,0.8785585585585586,14808,unassign
MSC03,0.953125,0.8197935368043088,14808,unassign
MSC04,0.9875,0.6832432432432433,14808,unassign
MSC05,0.9875,0.7333333333333334,14808,unassign
MSC06,0.9583333333333334,0.8422102533413126,14808,unassign
MSC07,0.9861111111111112,0.8197442046362909,14808,unassign
MSC10,0.975,0.5920720720720721,14808,unassign
MSC01,1.0,0.5765765765765766,14808,unassign
MSC02,0.9875,0.8344144144144144,14808,unassign
MSC03,0.96875,0.8135098743267505,14808,unassign
MSC04,0.9875,0.6281081081081081,14808,unassign
MSC05,0.9875,0.7286486486486486,14808,unassign
MSC06,0.9722222222222222,0.8252543387193297,14808,unassign
MSC07,0.9861111111111112,0.7915667466027179,14808,unassign
MSC10,0.9625,0.5776576576576576,14808,unassign
MSC01,0.9875,0.5695495495495495,14808,unassign
MSC02,0.9875,0.8495495495495495,14808,unassign
MSC03,0.96875,0.8096947935368043,14808,unassign
MSC04,0.9875,0.652972972972973,14808,unassign
MSC05,0.9875,0.7363963963963964,14808,unassign
MSC06,0.9722222222222222,0.8260522641133053,14808,unassign
MSC07,0.9861111111111112,0.7993605115907274,14808,unassign
MSC10,0.9625,0.5754954954954955,14808,unassign
MSC01,0.975,0.5684684684684684,14808,unassign
MSC02,0.9875,0.8899099099099099,14808,unassign
MSC03,0.984375,0.7856822262118491,14808,unassign
MSC04,0.9875,0.6410810810810811,14808,unassign
MSC05,0.9875,0.7227027027027026,14808,unassign
MSC06,0.9722222222222222,0.8286455216437263,14808,unassign
MSC07,0.9861111111111112,0.7891686650679456,14808,unassign
MSC10,0.9625,0.6544144144144144,14808,unassign
MSC01,1.0,0.569009009009009,14808,unassign
MSC02,0.9875,0.8390990990990991,14808,unassign
MSC03,0.984375,0.8126122082585279,14808,unassign
MSC04,0.9875,0.6726126126126126,14808,unassign
MSC05,0.9875,0.71009009009009,14808,unassign
MSC06,0.9583333333333334,0.8298424097346898,14808,unassign
