train,same_sub,diff_sub,feat
MSC02,0.66,0.55,12
MSC03,0.57,0.53,12
MSC04,0.79,0.52,12
MSC05,0.81,0.52,12
MSC06,0.71,0.54,12
MSC07,0.54,0.49,12
MSC10,0.65,0.5,12
MSC01,0.56,0.47,12
MSC02,0.54,0.47,12
MSC03,0.71,0.54,12
MSC04,0.76,0.52,12
MSC05,0.8,0.5,12
MSC06,0.66,0.55,12
MSC07,0.6,0.48,12
MSC10,0.81,0.51,12
MSC01,0.8,0.51,12
MSC02,0.68,0.51,12
MSC03,0.51,0.51,12
MSC04,0.74,0.57,12
MSC05,0.69,0.52,12
MSC06,0.81,0.56,12
MSC07,0.54,0.54,12
MSC10,0.64,0.54,12
MSC01,0.69,0.49,12
MSC02,0.7,0.61,12
MSC03,0.74,0.52,12
MSC04,0.68,0.49,12
MSC05,0.81,0.55,12
MSC06,0.75,0.59,12
MSC07,0.66,0.52,12
MSC10,0.69,0.55,12
MSC01,0.69,0.51,12
MSC02,0.72,0.57,12
MSC03,0.76,0.53,12
MSC04,0.71,0.63,12
MSC05,0.69,0.49,12
MSC06,0.72,0.52,12
MSC07,0.74,0.57,12
MSC10,0.46,0.52,12
MSC01,0.8,0.53,12
MSC02,0.54,0.52,12
MSC03,0.54,0.47,12
MSC04,0.68,0.56,12
MSC05,0.64,0.62,12
MSC06,0.71,0.57,12
MSC07,0.69,0.58,12
MSC10,0.64,0.59,12
MSC01,0.66,0.5,12
MSC02,0.69,0.53,12
MSC03,0.62,0.49,12
MSC04,0.74,0.52,12
MSC05,0.56,0.51,12
MSC06,0.49,0.5,12
MSC07,0.56,0.48,12
MSC10,0.57,0.53,12
MSC01,0.7,0.51,12
MSC02,0.76,0.57,12
MSC03,0.54,0.54,12
MSC04,0.71,0.56,12
MSC05,0.81,0.54,12
MSC06,0.74,0.59,12
MSC07,0.69,0.5,12
MSC10,0.68,0.56,12
MSC01,0.71,0.51,13
MSC02,0.74,0.59,13
MSC03,0.74,0.58,13
MSC04,0.74,0.52,13
MSC05,0.79,0.58,13
MSC06,0.51,0.56,13
MSC07,0.76,0.49,13
MSC10,0.62,0.57,13
MSC01,0.72,0.53,13
MSC02,0.7,0.52,13
MSC03,0.8,0.55,13
MSC04,0.88,0.5,13
MSC05,0.84,0.48,13
MSC06,0.68,0.52,13
MSC07,0.7,0.55,13
MSC10,0.64,0.56,13
MSC01,0.69,0.59,13
MSC02,0.71,0.53,13
MSC03,0.66,0.52,13
MSC04,0.7,0.54,13
MSC05,0.8,0.55,13
MSC06,0.66,0.52,13
MSC07,0.66,0.57,13
MSC10,0.54,0.57,13
MSC01,0.65,0.55,13
MSC02,0.8,0.7,13
MSC03,0.81,0.63,13
MSC04,0.88,0.65,13
MSC05,0.86,0.59,13
MSC06,0.78,0.66,13
MSC07,0.74,0.62,13
MSC10,0.64,0.53,13
MSC01,0.8,0.51,13
MSC02,0.62,0.5,13
MSC03,0.6,0.49,13
MSC04,0.82,0.55,13
MSC05,0.75,0.58,13
MSC06,0.7,0.48,13
MSC07,0.62,0.49,13
MSC10,0.8,0.52,13
MSC01,0.8,0.55,13
MSC02,0.69,0.51,13
MSC03,0.54,0.48,13
MSC04,0.84,0.58,13
MSC05,0.64,0.51,13
MSC06,0.66,0.52,13
MSC07,0.76,0.49,13
MSC10,0.76,0.52,13
MSC01,0.68,0.54,13
MSC02,0.69,0.55,13
MSC03,0.66,0.57,13
MSC04,0.68,0.55,13
MSC05,0.84,0.55,13
MSC06,0.74,0.55,13
MSC07,0.66,0.56,13
MSC10,0.66,0.48,13
MSC01,0.78,0.57,13
MSC02,0.82,0.58,13
MSC03,0.64,0.58,13
MSC04,0.65,0.62,13
MSC05,0.78,0.64,13
MSC06,0.74,0.66,13
MSC07,0.76,0.67,13
MSC10,0.81,0.62,13
MSC01,0.71,0.55,13
MSC02,0.53,0.51,13
MSC03,0.7,0.56,13
MSC04,0.6,0.59,13
MSC05,0.84,0.55,13
MSC06,0.8,0.53,13
MSC07,0.72,0.58,13
MSC10,0.68,0.51,13
MSC01,0.47,0.51,14
MSC02,0.5,0.51,14
MSC03,0.72,0.52,14
MSC04,0.53,0.49,14
MSC05,0.71,0.51,14
MSC06,0.69,0.51,14
MSC07,0.71,0.51,14
MSC10,0.54,0.49,14
MSC01,0.66,0.51,14
MSC02,0.74,0.49,14
MSC03,0.71,0.49,14
MSC04,0.69,0.51,14
MSC05,0.82,0.47,14
MSC06,0.68,0.55,14
MSC07,0.7,0.52,14
MSC10,0.65,0.47,14
MSC01,0.71,0.64,14
MSC02,0.71,0.58,14
MSC03,0.74,0.65,14
MSC04,0.74,0.69,14
MSC05,0.88,0.58,14
MSC06,0.71,0.64,14
MSC07,0.78,0.64,14
MSC10,0.65,0.6,14
MSC01,0.72,0.56,14
MSC02,0.74,0.52,14
MSC03,0.71,0.49,14
MSC04,0.59,0.56,14
MSC05,0.72,0.54,14
MSC06,0.65,0.51,14
MSC07,0.64,0.52,14
MSC10,0.76,0.52,14
MSC01,0.71,0.49,14
MSC02,0.7,0.5,14
MSC03,0.74,0.5,14
MSC04,0.75,0.53,14
MSC05,0.74,0.54,14
MSC06,0.75,0.51,14
MSC07,0.61,0.51,14
MSC10,0.66,0.51,14
MSC01,0.75,0.58,14
MSC02,0.71,0.6,14
MSC03,0.64,0.54,14
MSC04,0.62,0.56,14
MSC05,0.78,0.53,14
MSC06,0.66,0.53,14
MSC07,0.64,0.53,14
MSC10,0.74,0.56,14
MSC01,0.76,0.54,14
MSC02,0.78,0.5,14
MSC03,0.8,0.52,14
MSC04,0.8,0.54,14
MSC05,0.68,0.55,14
MSC06,0.54,0.59,14
MSC07,0.76,0.55,14
MSC10,0.66,0.54,14
MSC01,0.64,0.47,14
MSC02,0.71,0.49,14
MSC03,0.61,0.54,14
MSC04,0.76,0.56,14
MSC05,0.88,0.48,14
MSC06,0.78,0.53,14
MSC07,0.57,0.56,14
MSC10,0.64,0.54,14
MSC01,0.8,0.6,15
MSC02,0.71,0.53,15
MSC03,0.64,0.65,15
MSC04,0.74,0.59,15
MSC05,0.8,0.55,15
MSC06,0.68,0.54,15
MSC07,0.76,0.58,15
MSC10,0.74,0.59,15
MSC01,0.71,0.55,15
MSC02,0.56,0.49,15
MSC03,0.6,0.54,15
MSC04,0.79,0.61,15
MSC05,0.74,0.52,15
MSC06,0.76,0.52,15
MSC07,0.7,0.54,15
MSC10,0.64,0.53,15
MSC01,0.72,0.53,15
MSC02,0.72,0.56,15
MSC03,0.64,0.51,15
MSC04,0.68,0.54,15
MSC05,0.79,0.48,15
MSC06,0.69,0.55,15
MSC07,0.61,0.49,15
MSC10,0.65,0.55,15
MSC01,0.75,0.59,15
MSC02,0.69,0.54,15
MSC03,0.47,0.58,15
MSC04,0.76,0.54,15
MSC05,0.84,0.58,15
MSC06,0.65,0.55,15
MSC07,0.75,0.57,15
MSC10,0.6,0.46,15
MSC01,0.81,0.49,15
MSC02,0.61,0.5,15
MSC03,0.76,0.57,15
MSC04,0.7,0.52,15
MSC05,0.69,0.51,15
MSC06,0.57,0.58,15
MSC07,0.7,0.49,15
MSC10,0.72,0.53,15
MSC01,0.72,0.57,15
MSC02,0.82,0.54,15
MSC03,0.6,0.57,15
MSC04,0.7,0.63,15
MSC05,0.84,0.55,15
MSC06,0.8,0.5,15
MSC07,0.72,0.64,15
MSC10,0.74,0.59,15
MSC01,0.72,0.56,15
MSC02,0.78,0.53,15
MSC03,0.79,0.54,15
MSC04,0.69,0.56,15
MSC05,0.68,0.49,15
MSC06,0.71,0.55,15
MSC07,0.71,0.57,15
MSC10,0.61,0.49,15
MSC01,0.79,0.6,15
MSC02,0.72,0.51,15
MSC03,0.55,0.59,15
MSC04,0.68,0.59,15
MSC05,0.72,0.54,15
MSC06,0.81,0.58,15
MSC07,0.79,0.56,15
MSC10,0.68,0.49,15
MSC01,0.85,0.58,16
MSC02,0.75,0.55,16
MSC03,0.74,0.55,16
MSC04,0.68,0.61,16
MSC05,0.88,0.58,16
MSC06,0.81,0.61,16
MSC07,0.76,0.59,16
MSC10,0.81,0.6,16
MSC01,0.76,0.54,16
MSC02,0.59,0.54,16
MSC03,0.75,0.57,16
MSC04,0.74,0.56,16
MSC05,0.74,0.6,16
MSC06,0.72,0.55,16
MSC07,0.64,0.55,16
MSC10,0.71,0.51,16
MSC01,0.86,0.55,16
MSC02,0.76,0.55,16
MSC03,0.76,0.59,16
MSC04,0.75,0.55,16
MSC05,0.82,0.57,16
MSC06,0.7,0.51,16
MSC07,0.66,0.63,16
MSC10,0.72,0.54,16
MSC01,0.61,0.51,16
MSC02,0.75,0.53,16
MSC03,0.64,0.54,16
MSC04,0.76,0.53,16
MSC05,0.56,0.53,16
MSC06,0.7,0.52,16
MSC07,0.85,0.54,16
MSC10,0.59,0.49,16
MSC01,0.75,0.55,16
MSC02,0.59,0.55,16
MSC03,0.78,0.51,16
MSC04,0.6,0.58,16
MSC05,0.82,0.54,16
MSC06,0.81,0.54,16
MSC07,0.7,0.57,16
MSC10,0.65,0.54,16
MSC01,0.78,0.5,16
MSC02,0.74,0.54,16
MSC03,0.62,0.54,16
MSC04,0.66,0.56,16
MSC05,0.74,0.53,16
MSC06,0.71,0.59,16
MSC07,0.47,0.47,16
MSC10,0.71,0.52,16
MSC01,0.85,0.61,16
MSC02,0.66,0.5,16
MSC03,0.69,0.53,16
MSC04,0.88,0.59,16
MSC05,0.8,0.58,16
MSC06,0.89,0.59,16
MSC07,0.71,0.53,16
MSC10,0.69,0.61,16
MSC01,0.81,0.6,17
MSC02,0.66,0.58,17
MSC03,0.69,0.53,17
MSC04,0.64,0.55,17
MSC05,0.74,0.5,17
MSC06,0.69,0.55,17
MSC07,0.72,0.58,17
MSC10,0.72,0.57,17
MSC01,0.62,0.58,17
MSC02,0.71,0.6,17
MSC03,0.69,0.63,17
MSC04,0.74,0.59,17
MSC05,0.81,0.57,17
MSC06,0.74,0.6,17
MSC07,0.69,0.59,17
MSC10,0.64,0.6,17
MSC01,0.68,0.54,17
MSC02,0.7,0.47,17
MSC03,0.71,0.54,17
MSC04,0.69,0.55,17
MSC05,0.89,0.54,17
MSC06,0.8,0.57,17
MSC07,0.76,0.61,17
MSC10,0.79,0.55,17
MSC01,0.7,0.55,17
MSC02,0.74,0.46,17
MSC03,0.71,0.56,17
MSC04,0.66,0.58,17
MSC05,0.82,0.57,17
MSC06,0.75,0.53,17
MSC07,0.56,0.57,17
MSC10,0.68,0.53,17
MSC01,0.82,0.53,17
MSC02,0.79,0.55,17
MSC03,0.71,0.55,17
MSC04,0.88,0.55,17
MSC05,0.91,0.55,17
MSC06,0.76,0.53,17
MSC07,0.56,0.53,17
MSC10,0.68,0.55,17
MSC01,0.9,0.54,17
MSC02,0.79,0.54,17
MSC03,0.74,0.58,17
MSC04,0.78,0.57,17
MSC05,0.85,0.58,17
MSC06,0.66,0.54,17
MSC07,0.61,0.56,17
MSC10,0.62,0.56,17
MSC01,0.71,0.52,18
MSC02,0.68,0.54,18
MSC03,0.72,0.59,18
MSC04,0.7,0.56,18
MSC05,0.81,0.54,18
MSC06,0.62,0.57,18
MSC07,0.62,0.55,18
MSC10,0.68,0.56,18
MSC01,0.76,0.63,18
MSC02,0.69,0.62,18
MSC03,0.82,0.57,18
MSC04,0.74,0.65,18
MSC05,0.81,0.67,18
MSC06,0.85,0.7,18
MSC07,0.79,0.69,18
MSC10,0.7,0.57,18
MSC01,0.85,0.56,18
MSC02,0.68,0.54,18
MSC03,0.5,0.53,18
MSC04,0.69,0.49,18
MSC05,0.74,0.43,18
MSC06,0.51,0.5,18
MSC07,0.79,0.57,18
MSC10,0.62,0.54,18
MSC01,0.76,0.51,18
MSC02,0.65,0.5,18
MSC03,0.47,0.49,18
MSC04,0.76,0.52,18
MSC05,0.69,0.53,18
MSC06,0.57,0.52,18
MSC07,0.5,0.53,18
MSC10,0.74,0.48,18
MSC01,0.75,0.55,18
MSC02,0.69,0.51,18
MSC03,0.62,0.51,18
MSC04,0.61,0.53,18
MSC05,0.82,0.53,18
MSC06,0.78,0.5,18
MSC07,0.57,0.53,18
MSC10,0.79,0.53,18
MSC01,0.82,0.53,18
MSC02,0.66,0.56,18
MSC03,0.74,0.52,18
MSC04,0.75,0.56,18
MSC05,0.82,0.55,18
MSC06,0.68,0.53,18
MSC07,0.79,0.53,18
MSC10,0.66,0.57,18
MSC01,0.68,0.52,18
MSC02,0.61,0.53,18
MSC03,0.64,0.51,18
MSC04,0.68,0.53,18
MSC05,0.78,0.52,18
MSC06,0.7,0.53,18
MSC07,0.7,0.53,18
MSC10,0.78,0.46,18
MSC01,0.8,0.56,19
MSC02,0.57,0.53,19
MSC03,0.79,0.53,19
MSC04,0.56,0.52,19
MSC05,0.72,0.52,19
MSC06,0.88,0.55,19
MSC07,0.56,0.53,19
MSC10,0.59,0.51,19
MSC01,0.75,0.55,19
MSC02,0.65,0.52,19
MSC03,0.64,0.52,19
MSC04,0.82,0.55,19
MSC05,0.75,0.52,19
MSC06,0.76,0.59,19
MSC07,0.79,0.5,19
MSC10,0.68,0.55,19
MSC01,0.68,0.54,19
MSC02,0.75,0.51,19
MSC03,0.54,0.5,19
MSC04,0.74,0.5,19
MSC05,0.82,0.53,19
MSC06,0.62,0.51,19
MSC07,0.7,0.55,19
MSC10,0.8,0.48,19
MSC01,0.8,0.57,19
MSC02,0.8,0.57,19
MSC03,0.74,0.57,19
MSC04,0.75,0.56,19
MSC05,0.79,0.61,19
MSC06,0.81,0.5,19
MSC07,0.62,0.54,19
MSC10,0.7,0.52,19
MSC01,0.88,0.51,19
MSC02,0.72,0.51,19
MSC03,0.62,0.57,19
MSC04,0.81,0.54,19
MSC05,0.7,0.54,19
MSC06,0.69,0.52,19
MSC07,0.7,0.5,19
MSC10,0.68,0.56,19
MSC01,0.71,0.52,19
MSC02,0.57,0.5,19
MSC03,0.74,0.5,19
MSC04,0.62,0.52,19
MSC05,0.6,0.51,19
MSC06,0.78,0.46,19
MSC07,0.72,0.55,19
MSC10,0.79,0.53,19
MSC01,0.74,0.55,20
MSC02,0.89,0.59,20
MSC03,0.61,0.54,20
MSC04,0.76,0.54,20
MSC05,0.86,0.56,20
MSC06,0.75,0.53,20
