train_task,test_task,diff
mem,mixed,-0.05160714285714283
mem,motor,-0.06964285714285715
mixed,mem,0.104375
mixed,motor,0.07928571428571433
motor,mem,-0.023214285714285687
motor,mixed,-0.056249999999999974
mem,mixed,0.02241071428571426
mem,motor,-0.00794642857142854
mixed,mem,0.05214285714285716
mixed,motor,-0.09374999999999999
motor,mem,-0.08446428571428576
motor,mixed,0.005624999999999997
mem,mixed,-0.08901785714285723
mem,motor,0.06133928571428569
mixed,mem,-0.02169642857142855
mixed,motor,0.12160714285714287
motor,mem,0.055089285714285716
motor,mixed,-0.029285714285714286
mem,mixed,-0.07625000000000003
mem,motor,-0.03473214285714282
mixed,mem,0.11696428571428573
mixed,motor,0.07874999999999999
motor,mem,-0.005803571428571445
motor,mixed,0.06205357142857145
mem,mixed,-0.036875000000000026
mem,motor,-0.13473214285714283
mixed,mem,0.005089285714285683
mixed,motor,-0.08982142857142854
motor,mem,0.012321428571428594
motor,mixed,0.03464285714285714
mem,mixed,0.05714285714285709
mem,motor,-0.016071428571428587
mixed,mem,0.008214285714285707
mixed,motor,0.024375
motor,mem,0.020535714285714265
motor,mixed,0.053571428571428555
mem,mixed,-0.06285714285714282
mem,motor,-0.052232142857142894
mixed,mem,-0.11651785714285713
mixed,motor,0.011428571428571403
motor,mem,0.0025892857142856976
motor,mixed,-0.07937499999999996
mem,mixed,-0.07785714285714286
mem,motor,-0.04741071428571431
mixed,mem,-0.016339285714285664
mixed,motor,-0.14330357142857136
motor,mem,-0.01294642857142854
motor,mixed,-0.0665178571428571
mem,mixed,0.0604464285714286
mem,motor,0.03750000000000001
mixed,mem,-0.0971428571428571
mixed,motor,0.014374999999999975
motor,mem,0.02330357142857144
motor,mixed,-0.030089285714285683
mem,mixed,0.01776785714285712
mem,motor,-0.05169642857142858
mixed,mem,0.08223214285714288
mixed,motor,0.012410714285714278
motor,mem,-0.1358928571428572
motor,mixed,0.09749999999999999
mem,mixed,0.06946428571428567
mem,motor,0.012678571428571426
mixed,mem,0.029375000000000016
mixed,motor,0.05946428571428575
motor,mem,-0.019821428571428577
motor,mixed,0.016160714285714313
mem,mixed,0.046517857142857146
mem,motor,-0.08830357142857145
mixed,mem,0.04607142857142854
mixed,motor,-0.03482142857142861
motor,mem,-0.08267857142857145
motor,mixed,0.026250000000000006
mem,mixed,-0.000982142857142904
mem,motor,-0.09446428571428574
mixed,mem,-0.09589285714285718
mixed,motor,0.07276785714285716
motor,mem,-0.10535714285714283
motor,mixed,-0.01991071428571433
mem,mixed,-0.05866071428571429
mem,motor,-0.07562500000000003
mixed,mem,0.013928571428571403
mixed,motor,0.07374999999999997
motor,mem,-0.09044642857142855
motor,mixed,0.034464285714285704
mem,mixed,-0.033749999999999995
mem,motor,-0.05008928571428572
mixed,mem,-0.033035714285714265
mixed,motor,0.006339285714285716
motor,mem,-0.05348214285714281
motor,mixed,-0.06544642857142849
mem,mixed,0.015267857142857116
mem,motor,0.08232142857142861
mixed,mem,0.024642857142857116
mixed,motor,0.04464285714285716
motor,mem,-0.06044642857142857
motor,mixed,0.001160714285714255
mem,mixed,-0.034999999999999996
mem,motor,-0.025446428571428557
mixed,mem,-0.058303571428571455
mixed,motor,0.008750000000000032
motor,mem,0.10214285714285716
motor,mixed,-0.031249999999999976
