train_task,test_task,sub,acc
mixed,motor,MSC01,0.995
mixed,mem,MSC01,0.935
motor,mixed,MSC01,0.8149999999999998
motor,mem,MSC01,0.6500000000000001
mem,mixed,MSC01,0.945
mem,motor,MSC01,1.0
mixed,motor,MSC02,0.75
mixed,mem,MSC02,0.8299999999999998
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.7300000000000001
mem,motor,MSC02,0.63
mixed,motor,MSC03,1.0
mixed,mem,MSC03,0.8049999999999999
motor,mixed,MSC03,0.5449999999999999
motor,mem,MSC03,0.5849999999999999
mem,mixed,MSC03,0.6350000000000001
mem,motor,MSC03,0.8750000000000002
mixed,motor,MSC04,0.95
mixed,mem,MSC04,0.9600000000000002
motor,mixed,MSC04,0.5849999999999999
motor,mem,MSC04,0.6549999999999999
mem,mixed,MSC04,0.915
mem,motor,MSC04,0.8999999999999998
mixed,motor,MSC05,0.965
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.5599999999999998
motor,mem,MSC05,0.7899999999999999
mem,mixed,MSC05,0.8449999999999998
mem,motor,MSC05,1.0
mixed,motor,MSC06,0.915
mixed,mem,MSC06,1.0
motor,mixed,MSC06,0.5999999999999999
motor,mem,MSC06,0.745
mem,mixed,MSC06,0.755
mem,motor,MSC06,0.91
mixed,motor,MSC07,0.8299999999999998
mixed,mem,MSC07,0.9000000000000001
motor,mixed,MSC07,0.5499999999999999
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.885
mem,motor,MSC07,0.7849999999999999
mixed,motor,MSC10,0.905
mixed,mem,MSC10,0.965
motor,mixed,MSC10,0.505
motor,mem,MSC10,0.635
mem,mixed,MSC10,0.8150000000000001
mem,motor,MSC10,0.91
