train_task,test_task,diff
mixed,mem,0.058749999999999976
mixed,motor,-0.09437500000000001
motor,mem,0.004375000000000011
motor,mixed,-0.054999999999999986
mem,mixed,-0.027500000000000052
mem,motor,-0.008750000000000025
mixed,mem,0.004999999999999977
mixed,motor,0.04249999999999998
motor,mem,-0.04375000000000002
motor,mixed,-0.153125
mem,mixed,0.09687499999999995
mem,motor,0.06249999999999997
mixed,mem,-0.023749999999999986
mixed,motor,-0.021875000000000006
motor,mem,0.026875000000000066
motor,mixed,0.028750000000000032
mem,mixed,-0.04499999999999998
mem,motor,0.01812500000000002
mixed,mem,0.03687500000000003
mixed,motor,-0.05625000000000002
motor,mem,0.06312500000000001
motor,mixed,0.07687500000000003
mem,mixed,0.035
mem,motor,-0.08937499999999998
mixed,mem,0.038749999999999986
mixed,motor,0.061249999999999985
motor,mem,-0.0975
motor,mixed,0.0062500000000000056
mem,mixed,-0.058124999999999975
mem,motor,0.027500000000000024
mixed,mem,0.07874999999999999
mixed,motor,-0.06125000000000003
motor,mem,-0.013125000000000005
motor,mixed,0.019375000000000038
mem,mixed,-0.061250000000000006
mem,motor,0.003749999999999993
mixed,mem,-0.05749999999999994
mixed,motor,-0.005624999999999991
motor,mem,-0.028749999999999987
motor,mixed,-0.009374999999999988
mem,mixed,-0.01937500000000001
mem,motor,-0.011249999999999996
mixed,mem,-0.0018749999999999982
mixed,motor,-0.035624999999999976
motor,mem,-0.06187499999999997
motor,mixed,-0.09562500000000003
mem,mixed,-0.021250000000000033
mem,motor,0.0037500000000000137
mixed,mem,-0.06374999999999997
mixed,motor,-0.031249999999999983
motor,mem,0.053750000000000006
motor,mixed,0.018125000000000027
mem,mixed,-0.024374999999999973
mem,motor,0.021875
mixed,mem,-0.013125000000000012
mixed,motor,0.020000000000000042
motor,mem,0.012499999999999983
motor,mixed,0.02812499999999999
mem,mixed,-0.006874999999999985
mem,motor,-0.021249999999999977
mixed,mem,0.085
mixed,motor,-0.06937500000000005
motor,mem,0.09187499999999998
motor,mixed,-0.003750000000000007
mem,mixed,-0.042499999999999975
mem,motor,0.06624999999999999
mixed,mem,0.03687500000000002
mixed,motor,-0.01687500000000003
motor,mem,-0.024375
motor,mixed,-0.041249999999999995
mem,mixed,-0.040000000000000036
mem,motor,-0.06562500000000002
mixed,mem,0.0024999999999999883
mixed,motor,-0.02124999999999997
motor,mem,0.036874999999999984
motor,mixed,0.03937500000000002
mem,mixed,-0.01312499999999999
mem,motor,0.008124999999999969
mixed,mem,0.03625000000000002
mixed,motor,0.05062499999999998
motor,mem,0.10812500000000004
