,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.8049999999999999
1,mixed,mem,MSC01,0.875
2,motor,mixed,MSC01,0.53
3,motor,mem,MSC01,0.615
4,mem,mixed,MSC01,0.915
5,mem,motor,MSC01,0.735
6,mixed,motor,MSC02,0.7450000000000001
7,mixed,mem,MSC02,0.76
8,motor,mixed,MSC02,0.5
9,motor,mem,MSC02,0.5
10,mem,mixed,MSC02,0.655
11,mem,motor,MSC02,0.6100000000000001
12,mixed,motor,MSC03,0.975
13,mixed,mem,MSC03,0.925
14,motor,mixed,MSC03,0.5899999999999999
15,motor,mem,MSC03,0.56875
16,mem,mixed,MSC03,0.65625
17,mem,motor,MSC03,0.75625
18,mixed,motor,MSC04,0.85
19,mixed,mem,MSC04,0.975
20,motor,mixed,MSC04,0.5499999999999999
21,motor,mem,MSC04,0.5499999999999999
22,mem,mixed,MSC04,0.9
23,mem,motor,MSC04,0.745
24,mixed,motor,MSC05,0.905
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.505
27,motor,mem,MSC05,0.53
28,mem,mixed,MSC05,0.925
29,mem,motor,MSC05,0.8049999999999999
30,mixed,motor,MSC06,0.8555555555555557
31,mixed,mem,MSC06,0.9949999999999999
32,motor,mixed,MSC06,0.5944444444444444
33,motor,mem,MSC06,0.6222222222222222
34,mem,mixed,MSC06,0.9400000000000001
35,mem,motor,MSC06,0.7277777777777777
36,mixed,motor,MSC07,0.5888888888888889
37,mixed,mem,MSC07,0.9349999999999999
38,motor,mixed,MSC07,0.5111111111111111
39,motor,mem,MSC07,0.5
40,mem,mixed,MSC07,0.9249999999999998
41,mem,motor,MSC07,0.711111111111111
42,mixed,motor,MSC10,0.8300000000000001
43,mixed,mem,MSC10,0.9799999999999999
44,motor,mixed,MSC10,0.635
45,motor,mem,MSC10,0.5499999999999999
46,mem,mixed,MSC10,0.8800000000000001
47,mem,motor,MSC10,0.8399999999999999
