,train_sub,test_sub,task,acc,Features
0,MSC01,MSC02,mixed,0.505,10
1,MSC01,MSC02,motor,0.7200000000000001,10
2,MSC01,MSC02,mem,0.7150000000000001,10
3,MSC01,MSC03,mixed,0.3750000000000001,10
4,MSC01,MSC03,motor,0.615,10
5,MSC01,MSC03,mem,0.55625,10
6,MSC01,MSC04,mixed,0.54,10
7,MSC01,MSC04,motor,0.57,10
8,MSC01,MSC04,mem,0.765,10
9,MSC01,MSC05,mixed,0.415,10
10,MSC01,MSC05,motor,0.605,10
11,MSC01,MSC05,mem,0.575,10
12,MSC01,MSC06,mixed,0.48,10
13,MSC01,MSC06,motor,0.4833333333333334,10
14,MSC01,MSC06,mem,0.4900000000000001,10
15,MSC01,MSC07,mixed,0.455,10
16,MSC01,MSC07,motor,0.5777777777777778,10
17,MSC01,MSC07,mem,0.53,10
18,MSC01,MSC10,mixed,0.5399999999999999,10
19,MSC01,MSC10,motor,0.575,10
20,MSC01,MSC10,mem,0.7350000000000001,10
21,MSC02,MSC01,mixed,0.5,10
22,MSC02,MSC01,motor,0.725,10
23,MSC02,MSC01,mem,0.5599999999999999,10
24,MSC02,MSC03,mixed,0.86,10
25,MSC02,MSC03,motor,0.7,10
26,MSC02,MSC03,mem,0.75,10
27,MSC02,MSC04,mixed,0.6950000000000001,10
28,MSC02,MSC04,motor,0.68,10
29,MSC02,MSC04,mem,0.635,10
30,MSC02,MSC05,mixed,0.725,10
31,MSC02,MSC05,motor,0.7000000000000001,10
32,MSC02,MSC05,mem,0.6450000000000001,10
33,MSC02,MSC06,mixed,0.505,10
34,MSC02,MSC06,motor,0.3944444444444444,10
35,MSC02,MSC06,mem,0.38,10
36,MSC02,MSC07,mixed,0.4250000000000001,10
37,MSC02,MSC07,motor,0.5611111111111111,10
38,MSC02,MSC07,mem,0.55,10
39,MSC02,MSC10,mixed,0.565,10
40,MSC02,MSC10,motor,0.4450000000000001,10
41,MSC02,MSC10,mem,0.5549999999999999,10
42,MSC03,MSC01,mixed,0.51,10
43,MSC03,MSC01,motor,0.66,10
44,MSC03,MSC01,mem,0.56875,10
45,MSC03,MSC02,mixed,0.775,10
46,MSC03,MSC02,motor,0.6599999999999999,10
47,MSC03,MSC02,mem,0.65,10
48,MSC03,MSC04,mixed,0.6649999999999999,10
49,MSC03,MSC04,motor,0.595,10
50,MSC03,MSC04,mem,0.7374999999999999,10
51,MSC03,MSC05,mixed,0.53,10
52,MSC03,MSC05,motor,0.6500000000000001,10
53,MSC03,MSC05,mem,0.7749999999999999,10
54,MSC03,MSC06,mixed,0.61,10
55,MSC03,MSC06,motor,0.5,10
56,MSC03,MSC06,mem,0.4875,10
57,MSC03,MSC07,mixed,0.495,10
58,MSC03,MSC07,motor,0.5555555555555555,10
59,MSC03,MSC07,mem,0.5,10
60,MSC03,MSC10,mixed,0.265,10
61,MSC03,MSC10,motor,0.375,10
62,MSC03,MSC10,mem,0.54375,10
63,MSC04,MSC01,mixed,0.5,10
64,MSC04,MSC01,motor,0.5799999999999998,10
65,MSC04,MSC01,mem,0.725,10
66,MSC04,MSC02,mixed,0.5,10
67,MSC04,MSC02,motor,0.62,10
68,MSC04,MSC02,mem,0.53,10
69,MSC04,MSC03,mixed,0.605,10
70,MSC04,MSC03,motor,0.57,10
71,MSC04,MSC03,mem,0.66875,10
72,MSC04,MSC05,mixed,0.5,10
73,MSC04,MSC05,motor,0.63,10
74,MSC04,MSC05,mem,0.625,10
75,MSC04,MSC06,mixed,0.565,10
76,MSC04,MSC06,motor,0.5888888888888888,10
77,MSC04,MSC06,mem,0.685,10
78,MSC04,MSC07,mixed,0.4300000000000001,10
79,MSC04,MSC07,motor,0.5333333333333334,10
80,MSC04,MSC07,mem,0.59,10
81,MSC04,MSC10,mixed,0.6550000000000001,10
82,MSC04,MSC10,motor,0.7949999999999999,10
83,MSC04,MSC10,mem,0.55,10
84,MSC05,MSC01,mixed,0.66,10
85,MSC05,MSC01,motor,0.54,10
86,MSC05,MSC01,mem,0.65,10
87,MSC05,MSC02,mixed,0.595,10
